line	AGY	EH	ERN	KR	PH
030-1/jian1495b	171.7548404	159.8394179	16.15540844	40.25690405	320.7497137
030-1/Va26	132.3894886	153.0194457	14.90253124	35.96279811	322.7594774
1101/7146	154.4447607	134.8078719	14.21584534	40.04851341	307.7107595
1101/chengzi2142	163.9770915	174.4286622	16.28695318	42.37571814	340.920878
1101/d140	162.728261	162.2126682	15.28975311	41.4270487	321.4849931
1101/PHW30	179.9647576	149.4970426	14.06242994	41.6493931	327.6368306
1145/PHT22	154.0035114	137.6327698	15.21304541	34.48990337	306.6181415
1145/S22	162.1086891	148.4680037	13.43260285	36.09616556	317.4611043
1145/Sg1533	196.3913723	156.71672	15.67329159	38.68480108	308.5440761
150-4/78551S	154.0804756	104.5801566	12.83510677	38.77373884	292.073818
150-4/8982	168.6765142	148.1613515	15.80119281	39.45505957	305.0367618
150-4/M101	170.5552003	134.2332955	14.52267613	36.83193106	307.2941011
150-4/PHR30	176.3466318	134.5330745	14.06242994	38.03259083	306.2156914
150-4/W9706	166.3040776	120.0753043	13.43550617	37.458564	291.9796482
1538/807	169.9609342	112.3744105	16.13353778	37.72130867	291.681669
1538/Lp215D	188.0850005	126.3391153	14.03820678	41.19834777	309.2058275
1614/468-3	177.2753707	141.7214377	14.69048793	39.55679948	315.1248295
1614/DM101B	188.5777668	157.0060354	14.13913764	41.10094358	326.4595231
18/C521	194.0596986	142.1274756	13.90901454	38.69962404	292.5640043
18/E8501	166.2834683	139.7532299	15.13633771	39.12948988	315.1533945
18/LH162	177.3104457	129.5367579	16.36366088	37.27661987	297.3433202
18/M3	190.3408041	156.1921068	16.28882707	39.42550083	323.8869058
18/MDF-13D	210.4816797	146.474271	15.98012239	39.76687717	317.244882
18/W968	185.6137131	166.1847399	15.4431685	35.00870697	333.9112146
18/zhangxi28	157.9411521	148.1980003	16.59378397	31.95517719	303.9363253
2005/D1139	169.8549149	137.1061775	16.51707627	37.09874435	283.838689
2005/fu8701	195.3836991	167.8085428	16.74719936	44.74739176	324.1810175
2005/Z31B	199.7859854	156.6667568	16.67049167	38.24011227	326.9750791
20837/2005	172.2507841	141.0936385	16.05683008	39.51488684	303.8985707
20837/fu8701	178.5360257	155.7174567	14.29255303	40.77483845	315.3821743
2MA22/LH162	151.272191	109.9262154	14.75279922	40.92306805	289.5248495
2MA22/zhangxi28	146.5577334	103.8556907	16.67049167	36.0018453	279.3044662
3335/huangchangb	186.3724732	124.7652756	15.67329159	41.10094358	314.573367
3335/PHW43	176.8656568	86.26865642	16.82390706	37.67683979	298.9364256
3335/T24	164.6332177	120.591818	12.91181447	36.9653377	304.1283623
468-3/C521	191.1329945	135.0735938	16.05634533	39.45149425	314.0136202
468-3/fu96	197.8378766	131.8850267	17.43756864	40.55249405	304.696114
468-3/M3	185.8012388	149.4220978	16.44036857	38.99608324	321.7545956
468-3/MDF-13D	190.8217188	141.1282123	16.44036857	42.1681967	325.945688
468-3/MO113	172.1921407	122.9915832	15.98012239	38.4921026	294.9414076
468-3/Ms71	186.0846532	123.1164911	17.05403016	37.45449539	299.3040653
468-3/PHG47	162.8289754	117.3582363	17.09570616	36.96464167	296.2894198
468-3/PHJ40	171.8732195	131.9599714	16.28695318	37.02462954	301.3383382
468-3/R31	195.4482174	140.0540043	17.82110713	44.37681776	326.5829301
468-3/zhangxi28	175.7189395	118.5448614	16.97732246	34.97906105	288.2993839
4722/1101	165.9849008	125.6521218	14.90621462	37.82506939	285.4563037
4722/7903E	165.05876	114.6727161	17.82110713	36.62440962	276.9270629
4722/807	135.4671135	99.80867431	16.51707627	29.10916885	273.8879081
4722/DF27	161.9419418	116.1216479	14.98292231	37.49896427	289.1817192
4722/HB8229	179.213272	112.8615513	17.20744555	37.78060051	287.2454835
4722/IBB14	144.9476667	107.7028545	15.67329159	34.80118553	274.1820199
4722/Sg1533	144.1734881	123.0415463	16.44036857	35.48304169	284.6474963
5707/H114	161.6949239	137.3559933	14.56034336	34.33174424	305.2843375
5707/han49	153.5019983	136.0819326	15.13633771	34.16379824	299.206028
5707/L061M	188.2716637	141.2031571	16.21024548	39.05537508	310.3577652
5707/LH162	172.1310664	125.8394836	14.36926073	41.76797678	289.5738682
5707/MO113	174.0023181	109.3410808	13.26473416	40.66021221	290.5942601
5707/NS501	167.2897777	117.1209112	13.21864526	35.88326162	286.8288252
5707/PHW17	156.8442623	125.2936995	15.83448353	37.32355623	305.6789854
