line	AGY	EH	ERN	KR	PH
030-1	68.97674669	104.2792517	13.25144424	24.87237899	212.9936727
1101	69.60759117	108.2147977	13.14370222	24.40684487	242.3203237
1145	53.82865455	107.9846364	12.9282565	16.12797858	231.0222285
150-4	66.13050375	88.80090557	11.34832122	22.25564339	231.0608336
1538	98.74125778	91.40334968	14.07730034	28.83962367	249.7714119
1614	96.57455734	114.7541407	12.26822802	28.25515437	261.4172474
18	87.89074235	111.8185565	14.85514878	23.79387574	228.6245064
2005	44.55914103	104.790108	13.0470827	20.67199443	217.5912948
20837	53.94739979	88.66106993	13.14370222	19.82739324	213.5791503
2MA22	59.30216078	70.60667837	14.01323161	17.12603591	226.3571909
3335	83.48771183	73.75630009	13.01793145	27.41349127	226.2995447
468-3	120.4399053	92.00542778	15.87268135	29.00259347	227.4602525
4722	63.18607612	66.09486054	13.54889803	20.55733941	191.5815922
5707	82.15312254	92.04776441	14.43637655	24.39054789	233.8918702
6	71.58804691	97.32700817	12.35373458	24.81426939	216.8541772
7146	69.98037018	87.36336501	13.56445867	22.63171999	201.3864226
7236	78.51488771	119.5537108	14.97405804	25.87841236	262.6538493
7327	78.15545345	123.1531678	15.04357947	25.4796106	228.6930575
75-364	64.60047654	92.54372632	12.5691803	20.83780606	216.9188666
757	74.36936158	87.55338373	17.16535567	25.33577278	228.380069
78010	57.85289336	87.46994129	14.36456131	17.02431253	199.7367004
785	90.08398762	98.24405991	13.79003938	23.29865017	239.6826269
78551S	51.05048501	70.47982196	12.2855845	20.68999141	226.5634508
7903E	75.40881788	81.88723193	16.79950878	24.70145754	196.6835105
807	89.94284045	65.72590113	14.43637655	26.76990709	208.9272747
84-126-15-1	58.45670435	97.02636444	17.3240983	24.79960099	199.536166
897	66.24022039	97.72357109	16.87809471	19.40367174	234.2521839
8982	74.20350863	105.9287961	16.23175755	22.09267358	220.6419083
9058	100.3103849	84.16607653	13.93366986	25.62911843	241.2783021
91huang15	82.36673862	98.59105246	15.36309701	24.70585431	233.0168225
91huang5	26.96571239	79.04794175	12.89763375	17.65905521	164.5552475
96201	51.95179775	114.7014208	13.2873327	19.06143514	235.8092541
9702	92.51860351	84.70887202	17.81169283	23.70607469	218.7046456
9710	38.69534563	106.3488144	11.05071241	13.34251629	273.3976992
99122	181.7085304	107.2489471	16.23836655	37.12643573	275.9991418
A554	107.9143606	65.20541231	13.14780151	20.51734308	197.9377053
A619	50.21508409	44.79385797	13.48111607	16.50247893	173.4971824
Ay420	68.48055542	74.5742111	15.40800577	20.1190089	179.2013903
B09	54.14855452	108.3691521	12.24420391	20.34861349	223.611914
B7	28.0306721	45.89775553	12.21951714	16.29680371	155.6780498
B73	78.85440921	111.7550874	16.98408856	23.13382123	254.3635771
B98	62.079209	104.4651406	14.94164967	23.74045771	254.7900677
baiU8112	53.37796064	110.5755776	12.78327027	19.79904117	233.0708368
BCC03	63.23308199	78.39478766	13.351461	25.69195038	239.4867247
BM	99.58519442	106.6140159	13.50277842	28.43219914	229.9464346
C521	42.0807772	97.98537319	12.67132086	15.162152	220.0981644
