Name	Gene	MPH	sig
Bx1	Zm00001d048709	62.19933915	positive
Bx2	Zm00001d048710	37.41402908	positive
Bx3	Zm00001d048702	33.34091764	positive
Bx4	Zm00001d048703	19.12126816	positive
Bx5	Zm00001d048705	26.82065853	positive
Bx6	Zm00001d048634	25.57785623	positive
Bx7	Zm00001d049179	31.00458762	positive
Bx8	Zm00001d048707	10.4643896	positive
Bx9	Zm00001d031209	-5.909888857	negative
Bx10	Zm00001d029359	-53.73284706	negative
Bx11	Zm00001d029356	-39.32802535	negative
Bx12	Zm00001d029353	NA	#N/A
Bx13	Zm00001d007718	13.88845559	positive
Bx14	Zm00001d004921	-65.68971685	negative
