Module	Gene	Media_MPH	sig
black	ZeamMp073	NA	NA
black	Zm00001d000070	NA	NA
black	Zm00001d000107	0.236621581	Positive
black	Zm00001d000163	0.687724298	Positive
black	Zm00001d000175	0.132365367	FALSE
black	Zm00001d000194	0.490532675	Positive
black	Zm00001d000197	0.119176338	FALSE
black	Zm00001d000320	NA	NA
black	Zm00001d000424	0.06599004	FALSE
black	Zm00001d000545	NA	NA
black	Zm00001d000874	0.251775089	Positive
black	Zm00001d001432	0.130289838	FALSE
black	Zm00001d001575	NA	NA
black	Zm00001d001763	0.121128328	FALSE
black	Zm00001d001779	0.344475312	Positive
black	Zm00001d001825	0.192697954	FALSE
black	Zm00001d001959	-0.047053673	FALSE
black	Zm00001d001960	0.17900703	FALSE
black	Zm00001d001989	0.077825815	FALSE
black	Zm00001d002051	-0.019450113	FALSE
black	Zm00001d002052	0.296133114	Positive
black	Zm00001d002064	0.221129716	Positive
black	Zm00001d002065	0.129534423	FALSE
black	Zm00001d002075	0.121781884	FALSE
black	Zm00001d002105	-0.011911915	FALSE
black	Zm00001d002121	NA	NA
black	Zm00001d002126	-0.228904551	Negetive
black	Zm00001d002252	0.278936626	Positive
black	Zm00001d002257	0.027261154	FALSE
black	Zm00001d002278	0.269776196	Positive
black	Zm00001d002301	0.112773606	FALSE
black	Zm00001d002313	0.390046438	Positive
black	Zm00001d002342	0.186630616	FALSE
black	Zm00001d002370	NA	NA
black	Zm00001d002476	NA	NA
black	Zm00001d002491	0.230654778	Positive
black	Zm00001d002495	0.396506433	Positive
black	Zm00001d002530	0.882186077	Positive
black	Zm00001d002568	0.292583619	Positive
black	Zm00001d002590	0.937452625	Positive
black	Zm00001d002597	0.252952015	Positive
black	Zm00001d002599	0.264953143	Positive
black	Zm00001d002632	0.213477691	Positive
black	Zm00001d002668	0.232480861	Positive
black	Zm00001d002687	0.172521376	FALSE
black	Zm00001d002704	-0.014197653	FALSE
black	Zm00001d002721	0.448529903	Positive
black	Zm00001d002733	NA	NA
black	Zm00001d002736	0.528180875	Positive
black	Zm00001d002748	NA	NA
black	Zm00001d002757	0.200451077	Positive
black	Zm00001d002774	0.352405358	Positive
black	Zm00001d002788	0.399073824	Positive
black	Zm00001d002797	0.132839559	FALSE
black	Zm00001d002798	0.381177337	Positive
black	Zm00001d002821	NA	NA
black	Zm00001d002850	0.271293101	Positive
black	Zm00001d002851	0.199087603	FALSE
black	Zm00001d002889	0.064934096	FALSE
black	Zm00001d002890	0.14933988	FALSE
black	Zm00001d002899	0.153827111	FALSE
black	Zm00001d002901	0.061444329	FALSE
black	Zm00001d002905	0.235543012	Positive
black	Zm00001d002928	0.080147405	FALSE
black	Zm00001d002934	0.097985042	FALSE
black	Zm00001d002939	0.257140922	Positive
black	Zm00001d002943	0.131156575	FALSE
black	Zm00001d002962	0.270087255	Positive
black	Zm00001d003012	0.652174912	Positive
black	Zm00001d003039	0.474647438	Positive
black	Zm00001d003044	0.531378576	Positive
black	Zm00001d003049	0.176461003	FALSE
black	Zm00001d003057	0.232345657	Positive
black	Zm00001d003099	0.243406617	Positive
black	Zm00001d003104	0.396863246	Positive
black	Zm00001d003172	0.104089156	FALSE
black	Zm00001d003181	0.030164992	FALSE
black	Zm00001d003197	0.176593134	FALSE
black	Zm00001d003228	-0.070966051	FALSE
black	Zm00001d003349	0.339927883	Positive
black	Zm00001d003379	0.178749586	FALSE
