Module	Module_ID	MPH_med	Gene_N	Pos_N	Neg_N	Non_N
pink	1	-41.6270868	319	0	304	15
darkorange	2	-19.1289246	108	0	67	41
royalblue	3	-7.0887376	136	18	60	58
grey60	4	-7.0354382	149	8	48	93
violet	5	-6.7708236	49	4	33	12
darkred	6	-5.75602685	130	10	53	67
blue	7	-5.57038965	1450	258	624	568
paleturquoise	8	-1.9607466	793	73	169	551
midnightblue	9	-1.9386584	181	30	68	83
brown	10	0.1792086	1061	141	246	674
skyblue	11	1.1284905	345	138	111	96
steelblue	12	2.82717215	64	31	11	22
darkturquoise	13	3.9118654	119	59	16	44
purple	14	4.28605195	266	75	44	147
darkolivegreen	15	6.0566782	39	16	0	23
darkmagenta	16	14.1516481	33	19	0	14
magenta	17	15.150286	498	171	33	294
lightcyan	18	17.0925237	295	113	6	176
black	19	19.9064718	1812	901	92	819
