Trait	Var(add)	Var(dom)	h2
ENSRNA049453693	0.031785	1e-06	0.0317858412695985
ENSRNA049454125	0.379823	1e-06	0.379825518616489
ENSRNA049456300	0.072679	1e-06	0.0726809286959634
ENSRNA049456692	0.227941	1e-06	0.227941472101578
ENSRNA049456702	0.314992	1e-06	0.314992670185394
ENSRNA049456719	0.513496	1e-06	0.513497585356589
ENSRNA049456746	0.062399	0.124645	0.187043935412908
ENSRNA049456769	0.523685	1e-06	0.523686140961287
ENSRNA049456789	0.056629	0.014749	0.071378046018834
ENSRNA049457359	0.363202	0.168353	0.531555430461246
ENSRNA049457503	0.096441	0.171093	0.267533932282212
ENSRNA049457531	0.343748	1e-06	0.343749404508585
ENSRNA049458208	0.637207	0.075193	0.712400268336614
ENSRNA049458426	0.154866	1e-06	0.154867792437685
ENSRNA049458448	0.157552	2e-06	0.157554111731702
ENSRNA049458467	0.272064	0.108397	0.380458469429606
ENSRNA049458495	0.041357	0.08352	0.124876163615755
ENSRNA049458582	0.177888	0.211145	0.389032845661948
ENSRNA049458634	0.209912	0.051751	0.261663694214475
ENSRNA049458706	0.27735	0.043766	0.32111730201531
ENSRNA049458722	0.180272	2e-06	0.180273604494931
ENSRNA049458758	0.203331	0.125152	0.328482481370114
ENSRNA049458782	0.652495	0.073386	0.725880746609051
ENSRNA049458795	0.125682	0.010604	0.136287804529728
ENSRNA049458812	0.32092	0.008067	0.328990334112359
ENSRNA049458826	0.505049	1e-06	0.505050044080278
ENSRNA049458846	0.125906	0.064211	0.190114723576963
ENSRNA049458874	0.036702	2e-06	0.0367028705793608
ENSRNA049458957	0.480626	0.000932	0.481558989540665
ENSRNA049458986	0.450506	0.133738	0.584245590559027
ENSRNA049459026	0.080539	0.094331	0.174869552283207
ENSRNA049459076	0.534747	1e-06	0.534745986558272
ENSRNA049459101	0.439996	1e-06	0.439994312678284
ENSRNA049459132	0.608793	0.151416	0.76020834922412
ENSRNA049459156	0.476713	1e-06	0.476711597490992
ENSRNA049459180	0.624661	1e-06	0.624661710119979
ENSRNA049459199	0.118338	1e-06	0.118338545620161
ENSRNA049459833	0.039404	0.127549	0.166952252362833
ENSRNA049459870	0.028181	0.221834	0.250013379398105
ENSRNA049459930	0.202183	0.215369	0.417552025623459
ENSRNA049460030	0.213907	0.005641	0.219548369692522
ENSRNA049461441	0.411923	1e-06	0.411923790685953
ENSRNA049461457	0.506012	1e-06	0.506013313491958
ENSRNA049461479	0.146881	1e-06	0.14688174556467
ENSRNA049461505	0.427979	0.071126	0.49910580906909
ENSRNA049461556	0.069634	1e-06	0.0696347172600714
ENSRNA049461578	0.138719	1e-06	0.138720031814567
ENSRNA049461590	0.581127	1e-06	0.581129146600826
ENSRNA049461612	0.342942	0.116829	0.459771553072385
ENSRNA049461634	0.325794	0.034666	0.360457543366345
ENSRNA049461717	0.071092	0.188883	0.259974679797151
ENSRNA049461732	0.687924	0.054498	0.742421167942242
ENSRNA049461747	0.543549	1e-06	0.543548407998238
ENSRNA049461765	0.142118	0.070309	0.212426938334781
ENSRNA049463024	0.279397	0.058327	0.337723767841049
ENSRNA049463047	0.187427	0.004645	0.192072505557619
ENSRNA049463067	0.332125	0.057641	0.389765617115753
ENSRNA049463085	0.326036	1e-06	0.326037767652173
ENSRNA049463586	0.170453	0.118302	0.288752690006921
ENSRNA049463630	0.179224	0.157521	0.336744905487119
ENSRNA049463738	0.60346	0.00995	0.613409925856656
ENSRNA049463761	0.091302	1e-06	0.0913042994233295
ENSRNA049463774	0.499486	1e-06	0.499487079600052
ENSRNA049463813	0.741919	0.042729	0.784648239297648
ENSRNA049463846	0.696866	0.006055	0.70292080408781
ENSRNA049464979	0.479881	0.102568	0.582446231591802
ENSRNA049465220	0.595961	1e-06	0.595962478567634
ENSRNA049465281	0.451787	0.00393	0.455716430631004
ENSRNA049465355	0.569659	1e-06	0.5696599550344
ENSRNA049465399	0.60225	0.132926	0.735178107001085
ENSRNA049465410	0.835502	0.030257	0.865758967724009
ENSRNA049465449	0.430461	0.03208	0.462540199381632
ENSRNA049465606	0.371267	1e-06	0.371268059829425
ENSRNA049466083	0.253392	1e-06	0.253392306349299
ENSRNA049466300	0.069431	1e-06	0.0694326710520474
ENSRNA049466569	0.083463	0.004626	0.0880880864853787
ENSRNA049466579	0.057694	0.158044	0.215736545715183
ENSRNA049466617	0.640321	1e-06	0.640322332054047
ENSRNA049466632	0.534457	0.025182	0.559638946928542
ENSRNA049466642	0.668601	0.007243	0.675843816555445
ENSRNA049466657	0.450504	1e-06	0.450505225106062
ENSRNA049466664	0.445385	1e-06	0.445386657969311
ENSRNA049466676	0.422471	1e-06	0.422472024429043
ENSRNA049466701	0.210032	0.045276	0.255307759860686
ENSRNA049467439	0.260194	1e-06	0.26019577057063
ENSRNA049468913	0.061492	1e-06	0.0614911914057289
ENSRNA049469775	0.839682	1e-06	0.839679600320207
ENSRNA049470333	0.002674	1e-06	0.00267618198037467
ENSRNA049470554	0.672019	1e-06	0.672019709711717
ENSRNA049470569	0.027839	1e-06	0.0278406621419416
ENSRNA049470793	0.029043	1e-06	0.0290445097682162
ENSRNA049470799	0.030212	0.201496	0.231707630274546
ENSRNA049470807	0.13217	0.059565	0.191735241541235
ENSRNA049470937	0.209433	0.035928	0.2453617499755
ENSRNA049471008	1e-06	0.159806	0.159806909098905
ENSRNA049471617	0.188901	0.022531	0.211431819026574
ENSRNA049471654	0.007641	1e-06	0.00763927393293793
ENSRNA049471660	0.043578	1e-06	0.0435775538867341
ENSRNA049471996	0.709215	0.000677	0.709891470877667
ENSRNA049472005	0.262521	1e-06	0.262521312307441
ENSRNA049472105	0.557519	0.044066	0.601584181450857
ENSRNA049472180	0.680403	0.016853	0.6972563436474
ENSRNA049472213	0.765604	0.034489	0.800093614395728
ENSRNA049472415	0.478685	0.186217	0.664900854006229
ENSRNA049472421	0.550906	0.079339	0.630245222504343
ENSRNA049472638	0.318465	1e-06	0.318466095669825
ENSRNA049472786	0.506325	1e-06	0.506326217360359
ENSRNA049473651	0.189529	0.108848	0.298377656247207
ENSRNA049474375	0.115169	0.018319	0.133489071326712
ENSRNA049474454	0.726796	1e-06	0.726797306735801
ENSRNA049474463	0.632339	1e-06	0.632339787805876
ENSRNA049474470	0.234992	1e-06	0.234993780323423
ENSRNA049474492	0.018469	1e-06	0.0184711728304398
ENSRNA049474524	0.193615	0.036069	0.229683032718378
ENSRNA049474580	0.146321	1e-06	0.146323015468356
ENSRNA049474585	0.53934	0.09204	0.631380207045888
ENSRNA049474685	0.589732	1e-06	0.5897324982673
ENSRNA049474917	0.433778	0.025152	0.458930422997649
ENSRNA049475115	0.122805	1e-06	0.122805701987897
ENSRNA049475138	0.121671	1e-06	0.121672536039949
ENSRNA049475223	0.819942	1e-06	0.819942602430238
ENSRNA049475237	0.505091	1e-06	0.505093700328644
ENSRNA049475307	0.673214	1e-06	0.673213562202919
ENSRNA049475518	0.499849	0.025546	0.52539558736144
ENSRNA049475525	0.563107	0.184287	0.747394760884151
ENSRNA049475551	0.526698	1e-06	0.526698096432417
ENSRNA049475560	0.439333	1e-06	0.439334234524668
ENSRNA049475996	0.12218	0.097013	0.219193206436739
ENSRNA049476001	0.040317	1e-06	0.0403188681561503
ENSRNA049476004	0.090534	0.088703	0.179236974481167
ENSRNA049476010	0.067037	1e-06	0.0670384650446963
ENSRNA049476121	0.035726	1e-06	0.0357269224401819
ENSRNA049476127	0.47238	1e-06	0.472380676395455
ENSRNA049476156	0.582864	0.04062	0.623483985753898
ENSRNA049476166	0.65731	0.001889	0.659199455419304
ENSRNA049476247	0.264714	0.045027	0.309742244704773
ENSRNA049476252	0.043744	1e-06	0.0437451583732751
ENSRNA049476258	0.26627	0.127327	0.393595670490225
ENSRNA049476276	0.72634	0.047842	0.774181984997487
ENSRNA049476283	0.299421	1e-06	0.299422104064911
ENSRNA049476322	0.266894	0.120521	0.387414297957435
ENSRNA049476610	0.546916	0.072464	0.619380273412904
ENSRNA049476719	0.625572	0.268203	0.893775366968492
ENSRNA049476781	0.505939	0.013501	0.519439329041174
ENSRNA049476796	0.082463	1e-06	0.0824635248026297
ENSRNA049476801	0.087263	0.0021	0.0893637531719551
ENSRNA049476908	0.663275	1e-06	0.663277862907688
ENSRNA049477077	0.570552	0.155745	0.726296126313969
ENSRNA049477080	0.545549	1e-06	0.54554896306363
ENSRNA049477082	0.421645	1e-06	0.421645372120717
