Module	Hub_genes	abs(KE)	MPH	Sig
black	Zm00001d002370	0.810970632	NA	NA
black	Zm00001d002476	0.832307327	NA	NA
black	Zm00001d002530	0.81638028	0.882186077	Positive
black	Zm00001d002590	0.840713757	0.937452625	Positive
black	Zm00001d002632	0.814740535	0.213477691	Positive
black	Zm00001d002798	0.820434272	0.381177337	Positive
black	Zm00001d002905	0.805086839	0.235543012	Positive
black	Zm00001d002939	0.831444184	0.257140922	Positive
black	Zm00001d003012	0.844625133	0.652174912	Positive
black	Zm00001d003039	0.853339721	0.474647438	Positive
black	Zm00001d003104	0.809716698	0.396863246	Positive
black	Zm00001d003457	0.84888686	0.141073674	FALSE
black	Zm00001d003659	0.813267412	0.210234119	Positive
black	Zm00001d003751	0.848316394	0.369861667	Positive
black	Zm00001d004208	0.837412043	0.626219223	Positive
black	Zm00001d004443	0.811598566	0.532755107	Positive
black	Zm00001d004523	0.883718801	0.318588312	Positive
black	Zm00001d004553	0.801791825	0.209922162	Positive
black	Zm00001d004555	0.826581323	NA	NA
black	Zm00001d004758	0.826665862	0.362195185	Positive
black	Zm00001d005039	0.809060809	0.261564256	Positive
black	Zm00001d005298	0.830145711	0.28672957	Positive
black	Zm00001d005344	0.821744205	0.133866969	FALSE
black	Zm00001d005394	0.848938084	0.442497575	Positive
black	Zm00001d005570	0.885199697	0.663659059	Positive
black	Zm00001d005682	0.860969845	0.575687183	Positive
black	Zm00001d005767	0.880183014	0.612836911	Positive
black	Zm00001d005775	0.835579223	0.710156943	Positive
black	Zm00001d006161	0.802406222	NA	NA
black	Zm00001d006293	0.857991496	0.70478542	Positive
black	Zm00001d006449	0.87866076	0.356665506	Positive
black	Zm00001d006639	0.826340501	0.602328836	Positive
black	Zm00001d006659	0.817603505	0.48072822	Positive
black	Zm00001d006697	0.814180684	0.503512482	Positive
black	Zm00001d007045	0.805905174	0.387777487	Positive
black	Zm00001d007311	0.839052825	0.345142457	Positive
black	Zm00001d007935	0.80820382	0.741769262	Positive
black	Zm00001d008173	0.811579784	0.870424317	Positive
black	Zm00001d008295	0.806972506	0.430244278	Positive
black	Zm00001d008715	0.841142102	0.291850517	Positive
black	Zm00001d008837	0.814910631	0.77896829	Positive
black	Zm00001d009506	0.88831761	0.495108698	Positive
black	Zm00001d009567	0.800661317	0.40386131	Positive
black	Zm00001d010033	0.81456348	0.202276492	Positive
black	Zm00001d010507	0.855118764	0.161657796	FALSE
black	Zm00001d010521	0.914568079	0.727162596	Positive
black	Zm00001d010545	0.890080899	NA	NA
black	Zm00001d010903	0.817716134	NA	NA
black	Zm00001d010975	0.854969751	0.347422647	Positive
black	Zm00001d010976	0.917988136	0.581001785	Positive
black	Zm00001d011603	0.802396426	0.849764003	Positive
black	Zm00001d011669	0.84865726	0.37580605	Positive
black	Zm00001d012167	0.916635353	0.566141787	Positive
black	Zm00001d012808	0.854287561	0.617449382	Positive
black	Zm00001d013108	0.924772057	0.444146879	Positive
black	Zm00001d013367	0.851026377	0.415999639	Positive
black	Zm00001d013527	0.83689816	0.335779055	Positive
black	Zm00001d013804	0.849301685	0.351512678	Positive
black	Zm00001d013858	0.821312668	0.332472533	Positive
black	Zm00001d014467	0.933104677	0.502500928	Positive
black	Zm00001d014518	0.839281625	0.38349956	Positive
black	Zm00001d014722	0.833878166	0.325768015	Positive
black	Zm00001d014734	0.830030128	0.176266484	FALSE
black	Zm00001d014952	0.859442589	0.401667186	Positive
black	Zm00001d014961	0.821415971	0.205213017	Positive
black	Zm00001d014965	0.854558129	0.412393019	Positive
