Type	Total_N	Overlap_N
sampling1	36136	35342
sampling2	36136	35306
sampling3	36136	35318
sampling4	36136	35405
sampling5	36136	35295
sampling6	36136	35311
sampling7	36136	35390
sampling8	36136	35435
sampling9	36136	35396
sampling10	36136	35248
sampling11	36136	35334
sampling12	36136	35431
sampling13	36136	35305
sampling14	36136	35429
sampling15	36136	35385
sampling16	36136	35390
sampling17	36136	35387
sampling18	36136	35264
sampling19	36136	35385
sampling20	36136	35411
sampling21	36136	35386
sampling22	36136	35370
sampling23	36136	35369
sampling24	36136	35342
sampling25	36136	35349
sampling26	36136	35377
sampling27	36136	35411
sampling28	36136	35405
sampling29	36136	35360
sampling30	36136	35353
sampling31	36136	35295
sampling32	36136	35320
sampling33	36136	35389
sampling34	36136	35443
sampling35	36136	35341
sampling36	36136	35327
sampling37	36136	35373
sampling38	36136	35426
sampling39	36136	35333
sampling40	36136	35378
sampling41	36136	35381
sampling42	36136	35336
sampling43	36136	35330
sampling44	36136	35336
sampling45	36136	35376
sampling46	36136	35307
sampling47	36136	35389
sampling48	36136	35350
sampling49	36136	35439
sampling50	36136	35351
sampling51	36136	35376
sampling52	36136	35303
sampling53	36136	35306
sampling54	36136	35408
sampling55	36136	35341
sampling56	36136	35350
sampling57	36136	35333
sampling58	36136	35354
sampling59	36136	35371
sampling60	36136	35267
sampling61	36136	35443
sampling62	36136	35380
sampling63	36136	35421
sampling64	36136	35335
sampling65	36136	35444
sampling66	36136	35330
sampling67	36136	35336
sampling68	36136	35382
sampling69	36136	35368
sampling70	36136	35300
sampling71	36136	35356
sampling72	36136	35452
sampling73	36136	35384
sampling74	36136	35368
sampling75	36136	35405
sampling76	36136	35329
sampling77	36136	35369
sampling78	36136	35340
sampling79	36136	35318
sampling80	36136	35459
sampling81	36136	35405
sampling82	36136	35344
sampling83	36136	35317
sampling84	36136	35332
sampling85	36136	35332
sampling86	36136	35472
sampling87	36136	35349
sampling88	36136	35369
sampling89	36136	35435
sampling90	36136	35441
sampling91	36136	35359
sampling92	36136	35387
sampling93	36136	35364
sampling94	36136	35380
sampling95	36136	35372
sampling96	36136	35398
sampling97	36136	35421
sampling98	36136	35375
sampling99	36136	35385
sampling100	36136	35272
sampling101	36136	35288
sampling102	36136	35350
sampling103	36136	35361
sampling104	36136	35473
sampling105	36136	35374
sampling106	36136	35352
sampling107	36136	35298
sampling108	36136	35374
sampling109	36136	35351
sampling110	36136	35319
sampling111	36136	35344
sampling112	36136	35425
sampling113	36136	35289
sampling114	36136	35411
sampling115	36136	35361
sampling116	36136	35381
sampling117	36136	35296
sampling118	36136	35361
sampling119	36136	35393
sampling120	36136	35327
sampling121	36136	35413
sampling122	36136	35375
sampling123	36136	35327
sampling124	36136	35415
sampling125	36136	35360
sampling126	36136	35314
sampling127	36136	35332
sampling128	36136	35356
sampling129	36136	35410
sampling130	36136	35402
sampling131	36136	35384
sampling132	36136	35435
sampling133	36136	35407
sampling134	36136	35419
sampling135	36136	35419
sampling136	36136	35394
sampling137	36136	35352
sampling138	36136	35377
sampling139	36136	35402
sampling140	36136	35419
sampling141	36136	35446
sampling142	36136	35363
sampling143	36136	35330
sampling144	36136	35281
sampling145	36136	35367
sampling146	36136	35284
sampling147	36136	35424
sampling148	36136	35369
sampling149	36136	35372
sampling150	36136	35392
sampling151	36136	35358
sampling152	36136	35406
sampling153	36136	35364
sampling154	36136	35346
sampling155	36136	35327
sampling156	36136	35450
sampling157	36136	35401
sampling158	36136	35403
sampling159	36136	35400
sampling160	36136	35421
sampling161	36136	35418
sampling162	36136	35439
sampling163	36136	35419
sampling164	36136	35289
sampling165	36136	35295
sampling166	36136	35369
sampling167	36136	35382
sampling168	36136	35378
sampling169	36136	35329
sampling170	36136	35362
sampling171	36136	35410
sampling172	36136	35343
sampling173	36136	35523
sampling174	36136	35422
sampling175	36136	35387
sampling176	36136	35322
sampling177	36136	35298
sampling178	36136	35326
sampling179	36136	35400
sampling180	36136	35367
sampling181	36136	35357
sampling182	36136	35284
sampling183	36136	35380
sampling184	36136	35351
sampling185	36136	35323
sampling186	36136	35386
sampling187	36136	35319
sampling188	36136	35427
sampling189	36136	35328
sampling190	36136	35377
sampling191	36136	35292
sampling192	36136	35414
sampling193	36136	35384
sampling194	36136	35318
sampling195	36136	35284
sampling196	36136	35265
sampling197	36136	35325
sampling198	36136	35355
sampling199	36136	35343
sampling200	36136	35365
sampling201	36136	35471
sampling202	36136	35378
sampling203	36136	35406
sampling204	36136	35310
sampling205	36136	35374
sampling206	36136	35352
sampling207	36136	35313
sampling208	36136	35400
sampling209	36136	35300
sampling210	36136	35344
sampling211	36136	35347
sampling212	36136	35381
sampling213	36136	35320
sampling214	36136	35421
sampling215	36136	35402
sampling216	36136	35421
sampling217	36136	35345
sampling218	36136	35311
sampling219	36136	35440
sampling220	36136	35414
sampling221	36136	35449
sampling222	36136	35416
sampling223	36136	35313
sampling224	36136	35394
sampling225	36136	35355
sampling226	36136	35390
sampling227	36136	35303
sampling228	36136	35422
sampling229	36136	35376
sampling230	36136	35395
sampling231	36136	35381
sampling232	36136	35415
sampling233	36136	35344
sampling234	36136	35392
sampling235	36136	35337
sampling236	36136	35359
sampling237	36136	35340
sampling238	36136	35298
sampling239	36136	35391
sampling240	36136	35403
sampling241	36136	35379
sampling242	36136	35329
sampling243	36136	35373
sampling244	36136	35373
sampling245	36136	35383
sampling246	36136	35355
sampling247	36136	35442
sampling248	36136	35401
sampling249	36136	35354
sampling250	36136	35346
sampling251	36136	35383
sampling252	36136	35361
sampling253	36136	35455
sampling254	36136	35416
sampling255	36136	35371
sampling256	36136	35355
sampling257	36136	35390
sampling258	36136	35471
sampling259	36136	35325
sampling260	36136	35387
sampling261	36136	35421
sampling262	36136	35387
sampling263	36136	35370
sampling264	36136	35343
sampling265	36136	35380
sampling266	36136	35442
sampling267	36136	35328
sampling268	36136	35305
sampling269	36136	35409
sampling270	36136	35379
sampling271	36136	35355
sampling272	36136	35388
sampling273	36136	35411
sampling274	36136	35355
sampling275	36136	35351
sampling276	36136	35356
sampling277	36136	35330
sampling278	36136	35454
sampling279	36136	35355
sampling280	36136	35377
sampling281	36136	35386
sampling282	36136	35320
sampling283	36136	35413
sampling284	36136	35396
sampling285	36136	35310
sampling286	36136	35267
sampling287	36136	35402
sampling288	36136	35367
sampling289	36136	35369
sampling290	36136	35380
sampling291	36136	35396
sampling292	36136	35227
sampling293	36136	35432
sampling294	36136	35377
sampling295	36136	35354
sampling296	36136	35381
sampling297	36136	35390
sampling298	36136	35393
sampling299	36136	35426
sampling300	36136	35339
sampling301	36136	35423
sampling302	36136	35334
sampling303	36136	35384
sampling304	36136	35326
sampling305	36136	35350
sampling306	36136	35393
sampling307	36136	35445
sampling308	36136	35357
sampling309	36136	35330
sampling310	36136	35423
sampling311	36136	35352
sampling312	36136	35337
sampling313	36136	35380
sampling314	36136	35352
sampling315	36136	35394
sampling316	36136	35440
sampling317	36136	35420
sampling318	36136	35401
sampling319	36136	35362
sampling320	36136	35400
sampling321	36136	35410
sampling322	36136	35341
sampling323	36136	35392
sampling324	36136	35357
sampling325	36136	35332
sampling326	36136	35287
sampling327	36136	35330
sampling328	36136	35335
sampling329	36136	35460
sampling330	36136	35285
sampling331	36136	35421
sampling332	36136	35386
sampling333	36136	35336
sampling334	36136	35418
sampling335	36136	35371
sampling336	36136	35298
sampling337	36136	35382
sampling338	36136	35267
