Type	Total_N	Overlap_N
sampling1	36136	33407
sampling2	36136	33530
sampling3	36136	33465
sampling4	36136	33611
sampling5	36136	33496
sampling6	36136	33383
sampling7	36136	33493
sampling8	36136	33556
sampling9	36136	33554
sampling10	36136	33379
sampling11	36136	33548
sampling12	36136	33510
sampling13	36136	33303
sampling14	36136	33405
sampling15	36136	33586
sampling16	36136	33446
sampling17	36136	33431
sampling18	36136	33459
sampling19	36136	33564
sampling20	36136	33449
sampling21	36136	33475
sampling22	36136	33498
sampling23	36136	33623
sampling24	36136	33452
sampling25	36136	33397
sampling26	36136	33466
sampling27	36136	33414
sampling28	36136	33551
sampling29	36136	33539
sampling30	36136	33471
sampling31	36136	33363
sampling32	36136	33666
sampling33	36136	33563
sampling34	36136	33501
sampling35	36136	33494
sampling36	36136	33624
sampling37	36136	33406
sampling38	36136	33575
sampling39	36136	33436
sampling40	36136	33535
sampling41	36136	33519
sampling42	36136	33505
sampling43	36136	33511
sampling44	36136	33586
sampling45	36136	33389
sampling46	36136	33661
sampling47	36136	33381
sampling48	36136	33519
sampling49	36136	33482
sampling50	36136	33562
sampling51	36136	33670
sampling52	36136	33444
sampling53	36136	33371
sampling54	36136	33458
sampling55	36136	33328
sampling56	36136	33448
sampling57	36136	33615
sampling58	36136	33572
sampling59	36136	33410
sampling60	36136	33541
sampling61	36136	33649
sampling62	36136	33545
sampling63	36136	33616
sampling64	36136	33441
sampling65	36136	33474
sampling66	36136	33595
sampling67	36136	33480
sampling68	36136	33406
sampling69	36136	33362
sampling70	36136	33414
sampling71	36136	33528
sampling72	36136	33440
sampling73	36136	33506
sampling74	36136	33559
sampling75	36136	33408
sampling76	36136	33457
sampling77	36136	33597
sampling78	36136	33516
sampling79	36136	33572
sampling80	36136	33480
sampling81	36136	33509
sampling82	36136	33420
sampling83	36136	33500
sampling84	36136	33678
sampling85	36136	33667
sampling86	36136	33433
sampling87	36136	33260
sampling88	36136	33440
sampling89	36136	33494
sampling90	36136	33458
sampling91	36136	33522
sampling92	36136	33521
sampling93	36136	33539
sampling94	36136	33444
sampling95	36136	33587
sampling96	36136	33613
sampling97	36136	33599
