Type	Total_N	Overlap_N
sampling1	181049	155044
sampling2	181049	154854
sampling3	181049	155675
sampling4	181049	155072
sampling5	181049	155791
sampling6	181049	155719
sampling7	181049	155427
sampling8	181049	155651
sampling9	181049	155138
sampling10	181049	155329
sampling11	181049	155651
sampling12	181049	155584
sampling13	181049	156274
sampling14	181049	155454
sampling15	181049	155489
sampling16	181049	155962
sampling17	181049	155452
sampling18	181049	155662
sampling19	181049	154583
sampling20	181049	155115
sampling21	181049	155150
sampling22	181049	155823
sampling23	181049	155397
sampling24	181049	156276
sampling25	181049	155073
sampling26	181049	155225
sampling27	181049	154969
sampling28	181049	154876
sampling29	181049	155419
sampling30	181049	155073
sampling31	181049	155888
sampling32	181049	155585
sampling33	181049	155473
sampling34	181049	155548
sampling35	181049	156117
sampling36	181049	155685
sampling37	181049	155212
sampling38	181049	155778
sampling39	181049	155447
sampling40	181049	155653
sampling41	181049	155209
sampling42	181049	156033
sampling43	181049	155501
sampling44	181049	154843
sampling45	181049	155583
sampling46	181049	155745
sampling47	181049	156210
sampling48	181049	156251
sampling49	181049	155750
sampling50	181049	155412
sampling51	181049	155264
sampling52	181049	155747
sampling53	181049	155029
sampling54	181049	155386
sampling55	181049	155968
sampling56	181049	156059
sampling57	181049	155241
sampling58	181049	155425
sampling59	181049	155232
sampling60	181049	155962
sampling61	181049	155201
sampling62	181049	155018
sampling63	181049	155066
sampling64	181049	155182
sampling65	181049	155770
sampling66	181049	155056
sampling67	181049	155310
sampling68	181049	155504
sampling69	181049	155148
sampling70	181049	155355
sampling71	181049	155606
sampling72	181049	155815
sampling73	181049	154979
sampling74	181049	155493
sampling75	181049	155386
sampling76	181049	156074
sampling77	181049	155360
sampling78	181049	155754
sampling79	181049	155381
sampling80	181049	155349
sampling81	181049	154940
sampling82	181049	154867
sampling83	181049	155088
sampling84	181049	155338
sampling85	181049	155612
sampling86	181049	155168
sampling87	181049	154628
sampling88	181049	155126
sampling89	181049	154227
sampling90	181049	155232
sampling91	181049	154899
sampling92	181049	155226
sampling93	181049	156306
sampling94	181049	155313
sampling95	181049	155791
sampling96	181049	156586
sampling97	181049	156506
sampling98	181049	155410
sampling99	181049	155677
sampling100	181049	155779
sampling101	181049	155401
sampling102	181049	155266
sampling103	181049	155845
sampling104	181049	156111
sampling105	181049	156228
sampling106	181049	154831
sampling107	181049	154703
sampling108	181049	155092
sampling109	181049	155621
sampling110	181049	155804
sampling111	181049	155470
sampling112	181049	155946
sampling113	181049	155001
sampling114	181049	154794
sampling115	181049	155415
sampling116	181049	154588
sampling117	181049	154914
sampling118	181049	155769
sampling119	181049	156282
sampling120	181049	155711
sampling121	181049	155102
sampling122	181049	154863
sampling123	181049	155094
sampling124	181049	156138
sampling125	181049	155663
sampling126	181049	155862
sampling127	181049	155514
sampling128	181049	155721
sampling129	181049	155375
sampling130	181049	155197
sampling131	181049	156663
sampling132	181049	155340
sampling133	181049	156272
sampling134	181049	154661
sampling135	181049	155486
sampling136	181049	155691
sampling137	181049	155469
sampling138	181049	155209
sampling139	181049	155698
sampling140	181049	155853
sampling141	181049	156017
sampling142	181049	155923
sampling143	181049	155611
sampling144	181049	155557
sampling145	181049	154912
sampling146	181049	154833
sampling147	181049	155217
sampling148	181049	155116
sampling149	181049	155162
sampling150	181049	156276
sampling151	181049	155735
sampling152	181049	155673
sampling153	181049	155778
sampling154	181049	155158
sampling155	181049	155551
sampling156	181049	154816
sampling157	181049	155513
sampling158	181049	155819
sampling159	181049	155174
sampling160	181049	155487
sampling161	181049	155167
sampling162	181049	154953
sampling163	181049	154439
sampling164	181049	155146
sampling165	181049	155797
sampling166	181049	154858
sampling167	181049	155674
sampling168	181049	155514
sampling169	181049	155712
sampling170	181049	155703
sampling171	181049	155658
sampling172	181049	154886
sampling173	181049	155348
sampling174	181049	156036
sampling175	181049	155095
sampling176	181049	155887
sampling177	181049	155609
sampling178	181049	155258
sampling179	181049	155136
sampling180	181049	154629
sampling181	181049	155990
sampling182	181049	156011
sampling183	181049	154904
sampling184	181049	154916
sampling185	181049	155825
sampling186	181049	154975
sampling187	181049	154930
sampling188	181049	155812
sampling189	181049	155909
sampling190	181049	155440
sampling191	181049	155520
sampling192	181049	155646
sampling193	181049	155336
sampling194	181049	155381
sampling195	181049	154796
sampling196	181049	155772
sampling197	181049	154899
sampling198	181049	155079
sampling199	181049	155362
sampling200	181049	155555
sampling201	181049	155638
sampling202	181049	155030
sampling203	181049	155338
sampling204	181049	155300
sampling205	181049	155152
sampling206	181049	155518
sampling207	181049	155241
sampling208	181049	155166
sampling209	181049	156209
sampling210	181049	155423
sampling211	181049	155004
sampling212	181049	155101
sampling213	181049	155384
sampling214	181049	156159
sampling215	181049	156413
sampling216	181049	154872
sampling217	181049	154892
sampling218	181049	155875
sampling219	181049	154598
sampling220	181049	155549
sampling221	181049	155562
sampling222	181049	156108
sampling223	181049	155759
sampling224	181049	155705
sampling225	181049	154767
sampling226	181049	155099
sampling227	181049	156192
sampling228	181049	155165
sampling229	181049	155361
sampling230	181049	155150
sampling231	181049	155706
sampling232	181049	155578
sampling233	181049	155867
sampling234	181049	155778
sampling235	181049	156152
sampling236	181049	154653
sampling237	181049	155800
sampling238	181049	154753
sampling239	181049	154855
sampling240	181049	155223
sampling241	181049	155233
sampling242	181049	155732
sampling243	181049	155011
sampling244	181049	156105
sampling245	181049	155650
sampling246	181049	155735
sampling247	181049	155046
sampling248	181049	155446
sampling249	181049	155617
sampling250	181049	155054
sampling251	181049	154672
sampling252	181049	155068
sampling253	181049	155692
sampling254	181049	155282
sampling255	181049	155432
sampling256	181049	156108
sampling257	181049	156175
sampling258	181049	156352
sampling259	181049	155513
sampling260	181049	155530
