Type	Total_N	Overlap_N
sampling1	181049	161606
sampling2	181049	161825
sampling3	181049	161538
sampling4	181049	161842
sampling5	181049	161951
sampling6	181049	161499
sampling7	181049	161500
sampling8	181049	161745
sampling9	181049	161872
sampling10	181049	161601
sampling11	181049	161852
sampling12	181049	162087
sampling13	181049	161245
sampling14	181049	160695
sampling15	181049	161748
sampling16	181049	162153
sampling17	181049	161323
sampling18	181049	161982
sampling19	181049	161577
sampling20	181049	161953
sampling21	181049	162215
sampling22	181049	162054
sampling23	181049	161814
sampling24	181049	161184
sampling25	181049	160617
sampling26	181049	161502
sampling27	181049	161301
sampling28	181049	162231
sampling29	181049	161940
sampling30	181049	162066
sampling31	181049	161206
sampling32	181049	162109
sampling33	181049	161243
sampling34	181049	162223
sampling35	181049	161369
sampling36	181049	161826
sampling37	181049	161410
sampling38	181049	161515
sampling39	181049	161936
sampling40	181049	161644
sampling41	181049	162113
sampling42	181049	161090
sampling43	181049	161602
sampling44	181049	161917
sampling45	181049	161242
sampling46	181049	161547
sampling47	181049	161780
sampling48	181049	161311
sampling49	181049	162204
sampling50	181049	161566
sampling51	181049	162475
sampling52	181049	161083
sampling53	181049	160854
sampling54	181049	161644
sampling55	181049	161257
sampling56	181049	161618
sampling57	181049	161789
sampling58	181049	162357
sampling59	181049	161515
sampling60	181049	161867
sampling61	181049	161788
sampling62	181049	161854
sampling63	181049	161894
sampling64	181049	161622
sampling65	181049	161217
sampling66	181049	161662
sampling67	181049	161091
sampling68	181049	161665
sampling69	181049	161053
sampling70	181049	161158
sampling71	181049	161683
sampling72	181049	161482
sampling73	181049	161145
sampling74	181049	161419
sampling75	181049	161678
sampling76	181049	161730
sampling77	181049	162071
sampling78	181049	161257
sampling79	181049	161595
sampling80	181049	161488
sampling81	181049	161317
sampling82	181049	161293
sampling83	181049	161691
sampling84	181049	162173
sampling85	181049	162297
sampling86	181049	161850
sampling87	181049	160739
sampling88	181049	161589
sampling89	181049	161707
sampling90	181049	162378
sampling91	181049	161804
sampling92	181049	161491
sampling93	181049	161972
sampling94	181049	161440
sampling95	181049	161671
sampling96	181049	162156
sampling97	181049	162199
sampling98	181049	161572
sampling99	181049	161359
sampling100	181049	162162
sampling101	181049	161548
sampling102	181049	161319
sampling103	181049	161315
sampling104	181049	162560
sampling105	181049	161792
sampling106	181049	161769
sampling107	181049	161984
sampling108	181049	161632
sampling109	181049	161274
sampling110	181049	161438
sampling111	181049	161302
sampling112	181049	161119
sampling113	181049	162431
sampling114	181049	161132
sampling115	181049	161621
sampling116	181049	161848
sampling117	181049	161676
sampling118	181049	161495
sampling119	181049	162464
sampling120	181049	161306
sampling121	181049	161956
sampling122	181049	161121
sampling123	181049	161446
sampling124	181049	161146
sampling125	181049	162756
sampling126	181049	161712
sampling127	181049	161631
sampling128	181049	161711
sampling129	181049	161169
sampling130	181049	161218
sampling131	181049	161730
sampling132	181049	161537
sampling133	181049	161326
sampling134	181049	161441
sampling135	181049	162031
sampling136	181049	161445
sampling137	181049	161934
sampling138	181049	161569
sampling139	181049	161308
sampling140	181049	161722
sampling141	181049	161796
sampling142	181049	161559
sampling143	181049	161042
sampling144	181049	161009
sampling145	181049	161460
sampling146	181049	161550
sampling147	181049	161709
sampling148	181049	161570
sampling149	181049	161797
sampling150	181049	162115
sampling151	181049	161802
sampling152	181049	161981
sampling153	181049	161372
sampling154	181049	161910
sampling155	181049	161461
sampling156	181049	161499
sampling157	181049	161291
sampling158	181049	161238
sampling159	181049	161090
sampling160	181049	162062
sampling161	181049	161552
sampling162	181049	160837
sampling163	181049	162308
sampling164	181049	161397
sampling165	181049	161336
sampling166	181049	162026
sampling167	181049	161740
sampling168	181049	162091
sampling169	181049	161998
sampling170	181049	162167
sampling171	181049	161967
sampling172	181049	161903
sampling173	181049	161745
sampling174	181049	161722
sampling175	181049	161629
sampling176	181049	161795
sampling177	181049	161308
sampling178	181049	162132
sampling179	181049	161834
sampling180	181049	162511
sampling181	181049	161334
sampling182	181049	161955
sampling183	181049	161089
sampling184	181049	161383
sampling185	181049	161708
sampling186	181049	161515
sampling187	181049	161338
sampling188	181049	161786
sampling189	181049	162060
sampling190	181049	160927
sampling191	181049	161352
sampling192	181049	161564
sampling193	181049	160616
sampling194	181049	161666
sampling195	181049	161652
sampling196	181049	161304
sampling197	181049	161042
sampling198	181049	161461
sampling199	181049	161260
sampling200	181049	161473
sampling201	181049	162244
sampling202	181049	162017
sampling203	181049	161377
sampling204	181049	161832
sampling205	181049	161159
sampling206	181049	161340
sampling207	181049	161843
sampling208	181049	161671
sampling209	181049	161283
sampling210	181049	161662
sampling211	181049	161416
sampling212	181049	161787
sampling213	181049	161981
sampling214	181049	162249
sampling215	181049	161664
sampling216	181049	161392
sampling217	181049	162368
sampling218	181049	162205
sampling219	181049	161321
sampling220	181049	161425
sampling221	181049	161003
sampling222	181049	162041
sampling223	181049	161460
sampling224	181049	161264
sampling225	181049	161046
sampling226	181049	161781
sampling227	181049	161887
sampling228	181049	162322
sampling229	181049	161485
sampling230	181049	161680
sampling231	181049	161404
sampling232	181049	161644
sampling233	181049	161194
sampling234	181049	162043
sampling235	181049	161897
sampling236	181049	161847
sampling237	181049	161793
sampling238	181049	161517
sampling239	181049	162336
sampling240	181049	161975
sampling241	181049	162652
sampling242	181049	161309
sampling243	181049	161238
sampling244	181049	161025
sampling245	181049	162069
sampling246	181049	161478
sampling247	181049	161583
sampling248	181049	161520
sampling249	181049	161287
sampling250	181049	161920
sampling251	181049	161672
sampling252	181049	161593
sampling253	181049	161934
sampling254	181049	161241
sampling255	181049	161835
sampling256	181049	161828
sampling257	181049	160822
sampling258	181049	161934
sampling259	181049	161320
sampling260	181049	161985
sampling261	181049	161204
sampling262	181049	162214
sampling263	181049	160800
sampling264	181049	161749
sampling265	181049	161575
sampling266	181049	161321
sampling267	181049	161992
sampling268	181049	161385
sampling269	181049	162023
sampling270	181049	161901
sampling271	181049	161531
sampling272	181049	161838
sampling273	181049	161854
sampling274	181049	161084
sampling275	181049	161649
sampling276	181049	161654
sampling277	181049	161649
sampling278	181049	161814
sampling279	181049	161790
sampling280	181049	161600
sampling281	181049	161590
sampling282	181049	161316
sampling283	181049	161474
sampling284	181049	162264
sampling285	181049	161788
sampling286	181049	161423
sampling287	181049	161677
sampling288	181049	161035
sampling289	181049	161590
sampling290	181049	162032
sampling291	181049	162026
sampling292	181049	161591
sampling293	181049	162259
sampling294	181049	161727
sampling295	181049	161675
sampling296	181049	161900
sampling297	181049	161977
sampling298	181049	161838
sampling299	181049	161582
sampling300	181049	161675
sampling301	181049	161691
sampling302	181049	162028
sampling303	181049	161696
sampling304	181049	161970
sampling305	181049	161484
sampling306	181049	161014
sampling307	181049	161615
sampling308	181049	161587
sampling309	181049	161638
sampling310	181049	161468
sampling311	181049	161931
sampling312	181049	161607
sampling313	181049	161571
sampling314	181049	161728
sampling315	181049	161591
sampling316	181049	162427
sampling317	181049	161701
sampling318	181049	162165
sampling319	181049	161777
sampling320	181049	162286
sampling321	181049	161860
sampling322	181049	161385
sampling323	181049	161389
sampling324	181049	161696
sampling325	181049	161126
sampling326	181049	161785
sampling327	181049	160605
sampling328	181049	161621
sampling329	181049	161709
sampling330	181049	161890
sampling331	181049	161744
sampling332	181049	161794
sampling333	181049	161839
sampling334	181049	161785
sampling335	181049	161634
sampling336	181049	162021
sampling337	181049	161619
sampling338	181049	160904
sampling339	181049	160860
sampling340	181049	161364
sampling341	181049	161480
sampling342	181049	161160
sampling343	181049	161521
sampling344	181049	161839
sampling345	181049	162227
sampling346	181049	161301
sampling347	181049	162121
sampling348	181049	161824
sampling349	181049	161403
sampling350	181049	161587
sampling351	181049	161093
sampling352	181049	161359
sampling353	181049	162019
sampling354	181049	161972
sampling355	181049	161307
sampling356	181049	161296
sampling357	181049	161698
sampling358	181049	161956
sampling359	181049	161588
sampling360	181049	161566
sampling361	181049	161997
sampling362	181049	161598
sampling363	181049	162330
sampling364	181049	162276
sampling365	181049	162540
sampling366	181049	161520
sampling367	181049	162335
sampling368	181049	161581
sampling369	181049	161053
sampling370	181049	161572
sampling371	181049	161065
sampling372	181049	161989
sampling373	181049	162011
sampling374	181049	161322
sampling375	181049	161879
sampling376	181049	161628
sampling377	181049	161500
sampling378	181049	162271
sampling379	181049	161522
sampling380	181049	162058
sampling381	181049	161457
sampling382	181049	160952
sampling383	181049	161425
sampling384	181049	161690
sampling385	181049	162303
sampling386	181049	161134
sampling387	181049	161794
sampling388	181049	161495
sampling389	181049	161486
sampling390	181049	160961
sampling391	181049	162010
sampling392	181049	161262
sampling393	181049	161066
sampling394	181049	160838
sampling395	181049	161596
sampling396	181049	160762
sampling397	181049	161386
sampling398	181049	161163
sampling399	181049	161823
sampling400	181049	161760
sampling401	181049	162215
sampling402	181049	161339
sampling403	181049	161305
sampling404	181049	161167
sampling405	181049	161968
sampling406	181049	162400
sampling407	181049	161367
sampling408	181049	161556
sampling409	181049	161323
sampling410	181049	161135
sampling411	181049	161119
sampling412	181049	161515
sampling413	181049	161629
sampling414	181049	161590
sampling415	181049	162213
sampling416	181049	161653
sampling417	181049	161012
sampling418	181049	162208
sampling419	181049	161599
sampling420	181049	161958
sampling421	181049	161797
sampling422	181049	162159
sampling423	181049	161983
sampling424	181049	161594
sampling425	181049	161508
sampling426	181049	161613
sampling427	181049	161061
sampling428	181049	161523
sampling429	181049	161171
sampling430	181049	161904
sampling431	181049	161355
sampling432	181049	162291
sampling433	181049	161290
sampling434	181049	161582
sampling435	181049	162020
sampling436	181049	161791
sampling437	181049	161294
sampling438	181049	161709
sampling439	181049	162313
sampling440	181049	161696
sampling441	181049	161365
sampling442	181049	161549
sampling443	181049	161760
sampling444	181049	161224
sampling445	181049	161442
sampling446	181049	161905
sampling447	181049	162715
sampling448	181049	161740
sampling449	181049	161375
sampling450	181049	162402
sampling451	181049	161930
sampling452	181049	161319
sampling453	181049	161247
sampling454	181049	161687
sampling455	181049	161747
sampling456	181049	162245
sampling457	181049	161204
sampling458	181049	162107
sampling459	181049	160890
sampling460	181049	161346
sampling461	181049	161296
sampling462	181049	161810
sampling463	181049	161526
sampling464	181049	161660
sampling465	181049	162089
sampling466	181049	161443
sampling467	181049	161903
sampling468	181049	161824
sampling469	181049	161920
sampling470	181049	161563
sampling471	181049	161612
sampling472	181049	161067
sampling473	181049	161594
sampling474	181049	161277
sampling475	181049	161325
sampling476	181049	161314
sampling477	181049	161500
sampling478	181049	162048
sampling479	181049	162197
sampling480	181049	161349
sampling481	181049	161252
sampling482	181049	161185
sampling483	181049	161816
sampling484	181049	162203
sampling485	181049	161367
sampling486	181049	161624
sampling487	181049	160912
sampling488	181049	161895
sampling489	181049	162030
sampling490	181049	161398
sampling491	181049	162159
sampling492	181049	161097
sampling493	181049	161858
sampling494	181049	161720
sampling495	181049	161695
sampling496	181049	161772
sampling497	181049	161624
sampling498	181049	161200
sampling499	181049	162114
sampling500	181049	162075
sampling501	181049	161134
sampling502	181049	162251
sampling503	181049	161004
sampling504	181049	161447
sampling505	181049	161610
sampling506	181049	161613
sampling507	181049	161665
sampling508	181049	161692
sampling509	181049	161872
sampling510	181049	161371
sampling511	181049	161596
sampling512	181049	162007
sampling513	181049	161875
sampling514	181049	161834
sampling515	181049	161857
sampling516	181049	161199
sampling517	181049	161078
sampling518	181049	161948
sampling519	181049	161502
sampling520	181049	161703
sampling521	181049	162217
sampling522	181049	161714
sampling523	181049	160748
sampling524	181049	161239
sampling525	181049	161278
sampling526	181049	161133
sampling527	181049	161258
sampling528	181049	162007
sampling529	181049	161648
sampling530	181049	161652
sampling531	181049	161170
sampling532	181049	161832
sampling533	181049	162239
sampling534	181049	162372
sampling535	181049	161623
sampling536	181049	161668
sampling537	181049	161541
sampling538	181049	162395
sampling539	181049	162190
sampling540	181049	160952
sampling541	181049	161240
sampling542	181049	161838
sampling543	181049	161493
sampling544	181049	161316
sampling545	181049	161545
sampling546	181049	161317
sampling547	181049	161225
sampling548	181049	162031
sampling549	181049	161606
sampling550	181049	161389
sampling551	181049	161881
sampling552	181049	161375
sampling553	181049	161269
sampling554	181049	161777
sampling555	181049	161936
sampling556	181049	161516
sampling557	181049	161182
sampling558	181049	161409
sampling559	181049	162479
sampling560	181049	162021
sampling561	181049	161977
sampling562	181049	161693
sampling563	181049	161702
sampling564	181049	161880
sampling565	181049	161724
sampling566	181049	161099
sampling567	181049	161252
sampling568	181049	161475
sampling569	181049	160935
sampling570	181049	161328
sampling571	181049	160828
sampling572	181049	161378
sampling573	181049	161467
sampling574	181049	161973
sampling575	181049	160914
sampling576	181049	161147
sampling577	181049	161929
sampling578	181049	161333
sampling579	181049	161747
sampling580	181049	161806
sampling581	181049	161802
sampling582	181049	161830
sampling583	181049	160832
sampling584	181049	162074
sampling585	181049	161518
sampling586	181049	161347
sampling587	181049	161753
sampling588	181049	161222
sampling589	181049	161089
sampling590	181049	161334
sampling591	181049	161375
sampling592	181049	160777
sampling593	181049	161492
sampling594	181049	161346
sampling595	181049	161971
sampling596	181049	160936
sampling597	181049	162015
sampling598	181049	161850
sampling599	181049	161577
sampling600	181049	161199
sampling601	181049	161591
sampling602	181049	161398
sampling603	181049	162207
sampling604	181049	161510
sampling605	181049	161881
sampling606	181049	161661
sampling607	181049	161427
sampling608	181049	161355
sampling609	181049	160966
sampling610	181049	160905
sampling611	181049	162113
sampling612	181049	161044
sampling613	181049	161519
sampling614	181049	161557
sampling615	181049	161844
sampling616	181049	162182
sampling617	181049	161349
sampling618	181049	161434
sampling619	181049	161654
sampling620	181049	161496
sampling621	181049	161115
sampling622	181049	162131
sampling623	181049	161931
sampling624	181049	162026
sampling625	181049	161364
sampling626	181049	162335
sampling627	181049	161347
sampling628	181049	160676
sampling629	181049	162418
sampling630	181049	161347
sampling631	181049	161898
sampling632	181049	161472
sampling633	181049	160991
sampling634	181049	161438
sampling635	181049	161447
sampling636	181049	161384
sampling637	181049	161476
sampling638	181049	161410
sampling639	181049	162241
sampling640	181049	161967
sampling641	181049	161715
sampling642	181049	161167
sampling643	181049	161621
sampling644	181049	161816
sampling645	181049	161320
sampling646	181049	161187
sampling647	181049	161307
sampling648	181049	161245
sampling649	181049	162006
sampling650	181049	161593
sampling651	181049	162124
sampling652	181049	161217
sampling653	181049	161935
sampling654	181049	161550
sampling655	181049	161957
sampling656	181049	161216
sampling657	181049	161835
sampling658	181049	161646
sampling659	181049	161758
sampling660	181049	161619
sampling661	181049	161842
sampling662	181049	161398
sampling663	181049	162140
sampling664	181049	162004
sampling665	181049	160634
sampling666	181049	161740
sampling667	181049	161897
sampling668	181049	162041
sampling669	181049	162361
sampling670	181049	162104
sampling671	181049	162347
sampling672	181049	161591
sampling673	181049	161580
sampling674	181049	161938
sampling675	181049	162383
sampling676	181049	161461
sampling677	181049	161827
sampling678	181049	162001
sampling679	181049	161258
sampling680	181049	161738
sampling681	181049	162125
sampling682	181049	161667
sampling683	181049	161750
sampling684	181049	161642
sampling685	181049	161024
sampling686	181049	161488
sampling687	181049	161402
sampling688	181049	161793
sampling689	181049	162147
sampling690	181049	162103
sampling691	181049	161707
sampling692	181049	161851
sampling693	181049	161353
sampling694	181049	161588
sampling695	181049	161811
sampling696	181049	162243
sampling697	181049	162040
sampling698	181049	162110
sampling699	181049	161228
sampling700	181049	160887
sampling701	181049	161282
sampling702	181049	161602
sampling703	181049	162069
sampling704	181049	161135
sampling705	181049	162253
sampling706	181049	160945
sampling707	181049	161107
sampling708	181049	161934
sampling709	181049	161963
sampling710	181049	161513
sampling711	181049	161153
sampling712	181049	160685
sampling713	181049	161671
sampling714	181049	161450
sampling715	181049	161349
sampling716	181049	161666
sampling717	181049	162498
sampling718	181049	161791
sampling719	181049	162040
sampling720	181049	161809
sampling721	181049	161347
sampling722	181049	161470
sampling723	181049	162045
sampling724	181049	161599
sampling725	181049	162057
sampling726	181049	161779
sampling727	181049	161586
sampling728	181049	162081
sampling729	181049	162026
sampling730	181049	161931
sampling731	181049	161171
