Type	Total_N	Overlap_N
sampling1	27326	26694
sampling2	27326	26740
sampling3	27326	26728
sampling4	27326	26739
sampling5	27326	26722
sampling6	27326	26707
sampling7	27326	26735
sampling8	27326	26795
sampling9	27326	26751
sampling10	27326	26674
sampling11	27326	26796
sampling12	27326	26799
sampling13	27326	26737
sampling14	27326	26784
sampling15	27326	26795
sampling16	27326	26794
sampling17	27326	26780
sampling18	27326	26713
sampling19	27326	26790
sampling20	27326	26798
sampling21	27326	26753
sampling22	27326	26771
sampling23	27326	26740
sampling24	27326	26733
sampling25	27326	26765
sampling26	27326	26729
sampling27	27326	26782
sampling28	27326	26782
sampling29	27326	26813
sampling30	27326	26764
sampling31	27326	26731
sampling32	27326	26728
sampling33	27326	26715
sampling34	27326	26747
sampling35	27326	26737
sampling36	27326	26719
sampling37	27326	26731
sampling38	27326	26764
sampling39	27326	26697
sampling40	27326	26750
sampling41	27326	26817
sampling42	27326	26714
sampling43	27326	26743
sampling44	27326	26726
sampling45	27326	26744
sampling46	27326	26683
sampling47	27326	26754
sampling48	27326	26756
sampling49	27326	26801
sampling50	27326	26733
sampling51	27326	26733
sampling52	27326	26749
sampling53	27326	26695
sampling54	27326	26774
sampling55	27326	26753
sampling56	27326	26685
sampling57	27326	26685
sampling58	27326	26721
sampling59	27326	26758
sampling60	27326	26667
sampling61	27326	26828
sampling62	27326	26746
sampling63	27326	26809
sampling64	27326	26704
sampling65	27326	26776
sampling66	27326	26740
sampling67	27326	26728
sampling68	27326	26762
sampling69	27326	26712
sampling70	27326	26647
sampling71	27326	26757
sampling72	27326	26766
sampling73	27326	26737
sampling74	27326	26776
sampling75	27326	26795
sampling76	27326	26723
sampling77	27326	26721
sampling78	27326	26778
sampling79	27326	26739
sampling80	27326	26838
sampling81	27326	26756
sampling82	27326	26714
sampling83	27326	26700
sampling84	27326	26686
sampling85	27326	26729
sampling86	27326	26811
sampling87	27326	26718
sampling88	27326	26775
sampling89	27326	26803
sampling90	27326	26770
sampling91	27326	26778
sampling92	27326	26785
sampling93	27326	26779
sampling94	27326	26750
sampling95	27326	26758
sampling96	27326	26749
sampling97	27326	26757
sampling98	27326	26752
sampling99	27326	26733
sampling100	27326	26655
sampling101	27326	26703
sampling102	27326	26728
sampling103	27326	26734
sampling104	27326	26836
sampling105	27326	26785
sampling106	27326	26748
sampling107	27326	26693
sampling108	27326	26719
sampling109	27326	26775
sampling110	27326	26746
sampling111	27326	26742
sampling112	27326	26821
sampling113	27326	26686
sampling114	27326	26775
sampling115	27326	26775
sampling116	27326	26774
sampling117	27326	26719
