Type	Total_N	Overlap_N
sampling1	27326	25317
sampling2	27326	25393
sampling3	27326	25318
sampling4	27326	25439
sampling5	27326	25353
sampling6	27326	25328
sampling7	27326	25307
sampling8	27326	25354
sampling9	27326	25349
sampling10	27326	25190
sampling11	27326	25374
sampling12	27326	25396
sampling13	27326	25245
sampling14	27326	25344
sampling15	27326	25393
sampling16	27326	25249
sampling17	27326	25357
sampling18	27326	25306
sampling19	27326	25371
sampling20	27326	25429
sampling21	27326	25374
sampling22	27326	25366
sampling23	27326	25438
sampling24	27326	25352
sampling25	27326	25251
sampling26	27326	25317
sampling27	27326	25251
sampling28	27326	25361
sampling29	27326	25385
sampling30	27326	25402
sampling31	27326	25312
sampling32	27326	25443
sampling33	27326	25380
sampling34	27326	25360
sampling35	27326	25422
sampling36	27326	25445
sampling37	27326	25314
sampling38	27326	25377
sampling39	27326	25307
sampling40	27326	25418
sampling41	27326	25382
sampling42	27326	25388
sampling43	27326	25394
sampling44	27326	25408
sampling45	27326	25238
sampling46	27326	25518
sampling47	27326	25329
sampling48	27326	25454
sampling49	27326	25384
sampling50	27326	25433
sampling51	27326	25488
sampling52	27326	25241
sampling53	27326	25292
sampling54	27326	25398
sampling55	27326	25236
sampling56	27326	25411
sampling57	27326	25399
sampling58	27326	25437
sampling59	27326	25262
sampling60	27326	25332
sampling61	27326	25494
sampling62	27326	25438
sampling63	27326	25419
sampling64	27326	25323
sampling65	27326	25328
sampling66	27326	25468
sampling67	27326	25256
sampling68	27326	25367
sampling69	27326	25210
sampling70	27326	25297
sampling71	27326	25429
sampling72	27326	25320
sampling73	27326	25360
sampling74	27326	25375
sampling75	27326	25232
sampling76	27326	25386
sampling77	27326	25387
sampling78	27326	25408
sampling79	27326	25380
sampling80	27326	25288
sampling81	27326	25382
sampling82	27326	25366
sampling83	27326	25388
sampling84	27326	25464
sampling85	27326	25530
sampling86	27326	25337
sampling87	27326	25267
sampling88	27326	25411
sampling89	27326	25356
sampling90	27326	25415
sampling91	27326	25371
sampling92	27326	25322
sampling93	27326	25427
sampling94	27326	25341
sampling95	27326	25369
sampling96	27326	25451
sampling97	27326	25499
sampling98	27326	25439
sampling99	27326	25260
sampling100	27326	25386
sampling101	27326	25298
sampling102	27326	25432
sampling103	27326	25355
sampling104	27326	25431
sampling105	27326	25309
sampling106	27326	25362
sampling107	27326	25478
sampling108	27326	25269
sampling109	27326	25246
sampling110	27326	25335
sampling111	27326	25375
sampling112	27326	25357
sampling113	27326	25492
sampling114	27326	25289
sampling115	27326	25314
sampling116	27326	25332
sampling117	27326	25366
sampling118	27326	25250
sampling119	27326	25419
sampling120	27326	25292
sampling121	27326	25450
sampling122	27326	25242
sampling123	27326	25415
sampling124	27326	25362
sampling125	27326	25495
sampling126	27326	25327
sampling127	27326	25281
sampling128	27326	25445
sampling129	27326	25276
sampling130	27326	25300
sampling131	27326	25367
sampling132	27326	25320
sampling133	27326	25352
sampling134	27326	25335
sampling135	27326	25491
sampling136	27326	25459
sampling137	27326	25376
sampling138	27326	25346
sampling139	27326	25334
sampling140	27326	25401
sampling141	27326	25350
sampling142	27326	25315
sampling143	27326	25240
sampling144	27326	25350
sampling145	27326	25278
sampling146	27326	25332
sampling147	27326	25388
sampling148	27326	25343
sampling149	27326	25340
sampling150	27326	25417
sampling151	27326	25442
sampling152	27326	25403
sampling153	27326	25306
sampling154	27326	25363
sampling155	27326	25242
sampling156	27326	25370
sampling157	27326	25323
sampling158	27326	25418
sampling159	27326	25378
sampling160	27326	25471
sampling161	27326	25349
sampling162	27326	25240
sampling163	27326	25418
sampling164	27326	25373
sampling165	27326	25312
sampling166	27326	25433
sampling167	27326	25422
sampling168	27326	25389
sampling169	27326	25440
sampling170	27326	25323
sampling171	27326	25364
sampling172	27326	25417
sampling173	27326	25308
sampling174	27326	25339
sampling175	27326	25332
sampling176	27326	25291
sampling177	27326	25378
sampling178	27326	25404
sampling179	27326	25516
sampling180	27326	25398
sampling181	27326	25248
sampling182	27326	25292
sampling183	27326	25230
sampling184	27326	25288
sampling185	27326	25449
sampling186	27326	25326
sampling187	27326	25215
sampling188	27326	25479
sampling189	27326	25351
sampling190	27326	25381
sampling191	27326	25333
sampling192	27326	25374
sampling193	27326	25294
sampling194	27326	25416
sampling195	27326	25355
sampling196	27326	25354
sampling197	27326	25386
sampling198	27326	25285
sampling199	27326	25395
sampling200	27326	25364
sampling201	27326	25487
sampling202	27326	25339
sampling203	27326	25367
sampling204	27326	25421
sampling205	27326	25390
sampling206	27326	25350
sampling207	27326	25359
sampling208	27326	25379
sampling209	27326	25446
sampling210	27326	25376
sampling211	27326	25312
sampling212	27326	25369
sampling213	27326	25315
sampling214	27326	25444
sampling215	27326	25292
sampling216	27326	25347
sampling217	27326	25395
sampling218	27326	25401
sampling219	27326	25457
sampling220	27326	25309
sampling221	27326	25197
sampling222	27326	25432
sampling223	27326	25420
sampling224	27326	25270
sampling225	27326	25159
sampling226	27326	25333
sampling227	27326	25372
sampling228	27326	25420
sampling229	27326	25356
sampling230	27326	25277
sampling231	27326	25243
sampling232	27326	25359
sampling233	27326	25367
sampling234	27326	25408
sampling235	27326	25398
sampling236	27326	25403
sampling237	27326	25354
sampling238	27326	25476
sampling239	27326	25464
sampling240	27326	25351
sampling241	27326	25498
sampling242	27326	25305
sampling243	27326	25284
sampling244	27326	25228
sampling245	27326	25302
sampling246	27326	25371
sampling247	27326	25378
sampling248	27326	25446
sampling249	27326	25342
sampling250	27326	25247
sampling251	27326	25403
sampling252	27326	25381
sampling253	27326	25376
sampling254	27326	25263
sampling255	27326	25343
sampling256	27326	25339
sampling257	27326	25306
sampling258	27326	25420
sampling259	27326	25333
sampling260	27326	25423
sampling261	27326	25402
sampling262	27326	25414
sampling263	27326	25315
sampling264	27326	25398
sampling265	27326	25360
sampling266	27326	25349
sampling267	27326	25327
sampling268	27326	25438
sampling269	27326	25441
sampling270	27326	25295
sampling271	27326	25423
sampling272	27326	25377
sampling273	27326	25463
sampling274	27326	25198
sampling275	27326	25304
sampling276	27326	25480
sampling277	27326	25397
sampling278	27326	25372
sampling279	27326	25337
sampling280	27326	25332
sampling281	27326	25361
sampling282	27326	25269
sampling283	27326	25253
sampling284	27326	25426
sampling285	27326	25275
sampling286	27326	25449
sampling287	27326	25339
sampling288	27326	25333
sampling289	27326	25324
sampling290	27326	25360
sampling291	27326	25498
sampling292	27326	25449
sampling293	27326	25411
sampling294	27326	25321
sampling295	27326	25473
sampling296	27326	25313
sampling297	27326	25390
sampling298	27326	25423
sampling299	27326	25393
sampling300	27326	25285
sampling301	27326	25334
sampling302	27326	25309
sampling303	27326	25359
sampling304	27326	25306
sampling305	27326	25327
sampling306	27326	25301
sampling307	27326	25453
sampling308	27326	25331
sampling309	27326	25377
sampling310	27326	25348
sampling311	27326	25448
sampling312	27326	25338
sampling313	27326	25469
sampling314	27326	25403
sampling315	27326	25383
sampling316	27326	25458
sampling317	27326	25357
sampling318	27326	25359
sampling319	27326	25442
sampling320	27326	25445
sampling321	27326	25327
sampling322	27326	25291
sampling323	27326	25325
sampling324	27326	25374
sampling325	27326	25335
sampling326	27326	25388
sampling327	27326	25301
sampling328	27326	25368
sampling329	27326	25283
sampling330	27326	25460
sampling331	27326	25386
sampling332	27326	25371
sampling333	27326	25364
sampling334	27326	25300
sampling335	27326	25430
sampling336	27326	25405
sampling337	27326	25303
sampling338	27326	25291
sampling339	27326	25255
sampling340	27326	25366
sampling341	27326	25388
sampling342	27326	25312
sampling343	27326	25285
sampling344	27326	25427
sampling345	27326	25496
sampling346	27326	25271
sampling347	27326	25367
sampling348	27326	25345
sampling349	27326	25415
sampling350	27326	25316
sampling351	27326	25342
sampling352	27326	25360
sampling353	27326	25384
sampling354	27326	25327
sampling355	27326	25392
sampling356	27326	25359
sampling357	27326	25344
sampling358	27326	25427
sampling359	27326	25348
sampling360	27326	25427
sampling361	27326	25420
sampling362	27326	25298
sampling363	27326	25400
sampling364	27326	25497
sampling365	27326	25361
sampling366	27326	25354
sampling367	27326	25426
sampling368	27326	25409
sampling369	27326	25230
sampling370	27326	25424
sampling371	27326	25346
sampling372	27326	25394
sampling373	27326	25438
sampling374	27326	25285
sampling375	27326	25414
sampling376	27326	25378
sampling377	27326	25332
sampling378	27326	25486
sampling379	27326	25448
sampling380	27326	25376
sampling381	27326	25332
sampling382	27326	25208
sampling383	27326	25222
sampling384	27326	25396
sampling385	27326	25407
sampling386	27326	25329
sampling387	27326	25370
sampling388	27326	25340
sampling389	27326	25244
sampling390	27326	25201
sampling391	27326	25363
sampling392	27326	25346
sampling393	27326	25353
sampling394	27326	25253
