Type	Total_N	Overlap_N
sampling1	114013	110542
sampling2	114013	110380
sampling3	114013	110583
sampling4	114013	110712
sampling5	114013	110495
sampling6	114013	110601
sampling7	114013	110703
sampling8	114013	110836
sampling9	114013	110605
sampling10	114013	110467
sampling11	114013	110522
sampling12	114013	110865
sampling13	114013	110610
sampling14	114013	110608
sampling15	114013	110927
sampling16	114013	110862
sampling17	114013	110653
sampling18	114013	110802
sampling19	114013	110702
sampling20	114013	110757
sampling21	114013	110481
sampling22	114013	110641
sampling23	114013	110524
sampling24	114013	110655
sampling25	114013	110609
sampling26	114013	110736
sampling27	114013	110609
sampling28	114013	110800
sampling29	114013	110539
sampling30	114013	110623
sampling31	114013	110538
sampling32	114013	110560
sampling33	114013	110451
sampling34	114013	110727
sampling35	114013	110703
sampling36	114013	110654
sampling37	114013	110518
sampling38	114013	110675
sampling39	114013	110462
sampling40	114013	110701
sampling41	114013	110772
sampling42	114013	110502
sampling43	114013	110535
sampling44	114013	110551
sampling45	114013	110635
sampling46	114013	110528
sampling47	114013	110628
sampling48	114013	110408
sampling49	114013	110915
sampling50	114013	110594
sampling51	114013	110364
sampling52	114013	110524
sampling53	114013	110651
sampling54	114013	110735
sampling55	114013	110683
sampling56	114013	110507
sampling57	114013	110801
sampling58	114013	110607
sampling59	114013	110449
sampling60	114013	110425
sampling61	114013	110902
sampling62	114013	110856
sampling63	114013	110823
sampling64	114013	110485
sampling65	114013	110781
sampling66	114013	110369
sampling67	114013	110492
sampling68	114013	110734
sampling69	114013	110650
sampling70	114013	110486
sampling71	114013	110810
sampling72	114013	110612
sampling73	114013	110681
sampling74	114013	110734
sampling75	114013	110768
sampling76	114013	110433
sampling77	114013	110585
sampling78	114013	110556
sampling79	114013	110552
sampling80	114013	110958
sampling81	114013	110701
sampling82	114013	110582
sampling83	114013	110484
sampling84	114013	110708
sampling85	114013	110655
sampling86	114013	110734
sampling87	114013	110554
sampling88	114013	110851
sampling89	114013	110848
sampling90	114013	110596
sampling91	114013	110764
sampling92	114013	110825
sampling93	114013	110669
sampling94	114013	110659
sampling95	114013	110650
sampling96	114013	110611
sampling97	114013	110830
sampling98	114013	110421
sampling99	114013	110733
sampling100	114013	110399
sampling101	114013	110466
sampling102	114013	110611
sampling103	114013	110432
sampling104	114013	110965
sampling105	114013	110933
sampling106	114013	110477
sampling107	114013	110360
sampling108	114013	110574
sampling109	114013	110655
sampling110	114013	110676
sampling111	114013	110456
sampling112	114013	110801
sampling113	114013	110550
sampling114	114013	110660
sampling115	114013	110711
sampling116	114013	110722
sampling117	114013	110415
sampling118	114013	110690
sampling119	114013	110463
sampling120	114013	110697
sampling121	114013	110645
sampling122	114013	110782
sampling123	114013	110526
sampling124	114013	110719
sampling125	114013	110642
sampling126	114013	110484
sampling127	114013	110645
sampling128	114013	110573
sampling129	114013	110512
sampling130	114013	110839
sampling131	114013	110504
sampling132	114013	110798
sampling133	114013	110702
sampling134	114013	110863
sampling135	114013	110910
sampling136	114013	110641
sampling137	114013	110517
sampling138	114013	110769
sampling139	114013	110666
sampling140	114013	110764
sampling141	114013	110734
sampling142	114013	110688
sampling143	114013	110599
sampling144	114013	110341
sampling145	114013	110673
sampling146	114013	110514
sampling147	114013	110697
sampling148	114013	110761
sampling149	114013	110719
sampling150	114013	110639
sampling151	114013	110735
sampling152	114013	110741
sampling153	114013	110744
sampling154	114013	110553
sampling155	114013	110530
sampling156	114013	110696
sampling157	114013	110607
sampling158	114013	110780
sampling159	114013	110643
sampling160	114013	110738
sampling161	114013	110734
sampling162	114013	110976
sampling163	114013	110604
sampling164	114013	110439
sampling165	114013	110742
sampling166	114013	110481
sampling167	114013	110847
sampling168	114013	110794
sampling169	114013	110496
sampling170	114013	110579
sampling171	114013	110750
sampling172	114013	110526
sampling173	114013	110923
sampling174	114013	110598
sampling175	114013	110720
sampling176	114013	110584
sampling177	114013	110596
sampling178	114013	110541
sampling179	114013	110691
sampling180	114013	110595
sampling181	114013	110750
sampling182	114013	110648
sampling183	114013	110555
sampling184	114013	110481
sampling185	114013	110553
sampling186	114013	110656
sampling187	114013	110601
sampling188	114013	110684
sampling189	114013	110526
sampling190	114013	110772
sampling191	114013	110585
sampling192	114013	110766
sampling193	114013	110737
sampling194	114013	110485
sampling195	114013	110578
sampling196	114013	110480
sampling197	114013	110803
sampling198	114013	110551
sampling199	114013	110562
sampling200	114013	110495
sampling201	114013	110792
sampling202	114013	110814
sampling203	114013	110581
sampling204	114013	110554
sampling205	114013	110532
sampling206	114013	110580
sampling207	114013	110620
sampling208	114013	110580
sampling209	114013	110546
sampling210	114013	110577
sampling211	114013	110551
sampling212	114013	110684
sampling213	114013	110575
sampling214	114013	110960
sampling215	114013	110692
sampling216	114013	110516
sampling217	114013	110631
sampling218	114013	110541
sampling219	114013	110635
sampling220	114013	110832
sampling221	114013	110699
sampling222	114013	110882
sampling223	114013	110454
sampling224	114013	110637
sampling225	114013	110602
sampling226	114013	110829
sampling227	114013	110529
sampling228	114013	110853
sampling229	114013	110523
sampling230	114013	110700
sampling231	114013	110562
sampling232	114013	110766
sampling233	114013	110557
sampling234	114013	110700
sampling235	114013	110698
sampling236	114013	110627
sampling237	114013	110634
sampling238	114013	110642
sampling239	114013	110791
sampling240	114013	110602
sampling241	114013	110869
sampling242	114013	110558
sampling243	114013	110625
sampling244	114013	110524
sampling245	114013	110728
sampling246	114013	110719
sampling247	114013	110604
sampling248	114013	110727
sampling249	114013	110596
sampling250	114013	110535
sampling251	114013	110695
sampling252	114013	110900
sampling253	114013	110713
sampling254	114013	110694
sampling255	114013	110619
sampling256	114013	110557
sampling257	114013	110640
sampling258	114013	110811
sampling259	114013	110572
sampling260	114013	110701
sampling261	114013	110691
sampling262	114013	110583
sampling263	114013	110513
sampling264	114013	110718
sampling265	114013	110574
sampling266	114013	110593
sampling267	114013	110613
sampling268	114013	110556
sampling269	114013	110672
sampling270	114013	110816
sampling271	114013	110736
sampling272	114013	110841
sampling273	114013	110907
sampling274	114013	110754
sampling275	114013	110637
sampling276	114013	110451
sampling277	114013	110598
sampling278	114013	110763
sampling279	114013	110579
sampling280	114013	110738
sampling281	114013	110863
sampling282	114013	110448
sampling283	114013	110769
sampling284	114013	110768
sampling285	114013	110626
sampling286	114013	110633
sampling287	114013	110656
sampling288	114013	110667
sampling289	114013	110811
sampling290	114013	110600
sampling291	114013	110544
sampling292	114013	110343
sampling293	114013	110891
sampling294	114013	110753
sampling295	114013	110516
sampling296	114013	110513
sampling297	114013	110568
sampling298	114013	110588
sampling299	114013	110758
sampling300	114013	110698
sampling301	114013	110718
sampling302	114013	110439
sampling303	114013	110635
sampling304	114013	110523
sampling305	114013	110613
sampling306	114013	110504
sampling307	114013	110687
sampling308	114013	110404
sampling309	114013	110486
sampling310	114013	110754
sampling311	114013	110518
sampling312	114013	110593
sampling313	114013	110648
sampling314	114013	110604
sampling315	114013	110780
sampling316	114013	110745
sampling317	114013	110847
sampling318	114013	110730
sampling319	114013	110708
sampling320	114013	110696
sampling321	114013	110675
sampling322	114013	110612
sampling323	114013	110681
sampling324	114013	110558
sampling325	114013	110445
sampling326	114013	110388
sampling327	114013	110532
sampling328	114013	110621
sampling329	114013	110926
sampling330	114013	110452
sampling331	114013	110830
sampling332	114013	110656
sampling333	114013	110450
sampling334	114013	110643
sampling335	114013	110622
sampling336	114013	110579
sampling337	114013	110649
sampling338	114013	110398
sampling339	114013	110588
sampling340	114013	110768
sampling341	114013	110551
sampling342	114013	110657
sampling343	114013	110699
sampling344	114013	110748
sampling345	114013	110564
sampling346	114013	110513
sampling347	114013	110784
sampling348	114013	110632
sampling349	114013	110461
sampling350	114013	110684
sampling351	114013	110690
sampling352	114013	110833
sampling353	114013	110757
sampling354	114013	110738
sampling355	114013	110855
sampling356	114013	110978
sampling357	114013	110454
sampling358	114013	110467
sampling359	114013	110724
sampling360	114013	110572
sampling361	114013	110602
sampling362	114013	110507
sampling363	114013	110406
sampling364	114013	110644
sampling365	114013	110803
