Type	Total_N	Overlap_N
sampling1	114013	98446
sampling2	114013	98399
sampling3	114013	98927
sampling4	114013	98676
sampling5	114013	99144
sampling6	114013	99128
sampling7	114013	98807
sampling8	114013	99103
sampling9	114013	98822
sampling10	114013	98544
sampling11	114013	98807
sampling12	114013	98940
sampling13	114013	99379
sampling14	114013	98777
sampling15	114013	98704
sampling16	114013	99057
sampling17	114013	98656
sampling18	114013	98910
sampling19	114013	98080
sampling20	114013	98286
sampling21	114013	98506
sampling22	114013	99199
sampling23	114013	98742
sampling24	114013	99564
sampling25	114013	98741
sampling26	114013	98526
sampling27	114013	98163
sampling28	114013	98527
sampling29	114013	98838
sampling30	114013	98620
sampling31	114013	98882
sampling32	114013	98416
sampling33	114013	98784
sampling34	114013	98649
sampling35	114013	99090
sampling36	114013	98343
sampling37	114013	98402
sampling38	114013	98810
sampling39	114013	99021
sampling40	114013	98689
sampling41	114013	98538
sampling42	114013	99137
sampling43	114013	98454
sampling44	114013	98486
sampling45	114013	98750
sampling46	114013	98901
sampling47	114013	98980
sampling48	114013	98852
sampling49	114013	99219
sampling50	114013	98767
sampling51	114013	98867
sampling52	114013	99025
sampling53	114013	98439
sampling54	114013	98829
sampling55	114013	98842
sampling56	114013	99037
sampling57	114013	98291
sampling58	114013	98677
sampling59	114013	98801
sampling60	114013	99098
sampling61	114013	98709
sampling62	114013	98425
sampling63	114013	98524
sampling64	114013	98541
sampling65	114013	98864
sampling66	114013	98430
sampling67	114013	98828
sampling68	114013	99107
sampling69	114013	98522
sampling70	114013	98546
sampling71	114013	98929
sampling72	114013	99104
sampling73	114013	98394
sampling74	114013	98774
sampling75	114013	98465
sampling76	114013	98913
sampling77	114013	98638
sampling78	114013	98858
sampling79	114013	98641
sampling80	114013	98725
sampling81	114013	98313
sampling82	114013	98252
sampling83	114013	98448
sampling84	114013	98616
sampling85	114013	99227
sampling86	114013	98822
sampling87	114013	98437
sampling88	114013	98888
sampling89	114013	98330
sampling90	114013	98700
sampling91	114013	98555
sampling92	114013	98547
sampling93	114013	99307
sampling94	114013	98860
sampling95	114013	98983
sampling96	114013	99292
sampling97	114013	99058
sampling98	114013	98355
sampling99	114013	98684
sampling100	114013	98675
sampling101	114013	98819
sampling102	114013	98721
sampling103	114013	99041
sampling104	114013	98908
sampling105	114013	99112
sampling106	114013	98391
sampling107	114013	98168
sampling108	114013	98350
sampling109	114013	99063
sampling110	114013	98892
sampling111	114013	98727
sampling112	114013	99081
sampling113	114013	98174
sampling114	114013	98510
sampling115	114013	98922
sampling116	114013	98308
sampling117	114013	98424
sampling118	114013	98957
sampling119	114013	99291
sampling120	114013	98699
sampling121	114013	98545
sampling122	114013	98724
sampling123	114013	98505
sampling124	114013	99191
sampling125	114013	98696
sampling126	114013	99086
sampling127	114013	98595
sampling128	114013	99078
sampling129	114013	98663
sampling130	114013	98503
sampling131	114013	99462
sampling132	114013	98810
sampling133	114013	99133
sampling134	114013	98331
sampling135	114013	98758
sampling136	114013	99061
sampling137	114013	98589
sampling138	114013	98749
sampling139	114013	98961
sampling140	114013	98977
sampling141	114013	98743
sampling142	114013	98865
sampling143	114013	98993
sampling144	114013	98894
sampling145	114013	98599
sampling146	114013	98265
sampling147	114013	98820
sampling148	114013	98617
sampling149	114013	98537
sampling150	114013	99004
sampling151	114013	98765
sampling152	114013	98901
sampling153	114013	98491
sampling154	114013	98357
sampling155	114013	98648
sampling156	114013	98424
sampling157	114013	98690
sampling158	114013	99206
sampling159	114013	98550
sampling160	114013	98671
sampling161	114013	98443
sampling162	114013	98699
sampling163	114013	98371
sampling164	114013	98643
sampling165	114013	99103
sampling166	114013	98599
sampling167	114013	98862
sampling168	114013	98879
sampling169	114013	99092
sampling170	114013	98850
sampling171	114013	98761
sampling172	114013	98234
sampling173	114013	98551
sampling174	114013	98993
sampling175	114013	98411
sampling176	114013	98731
sampling177	114013	98867
sampling178	114013	98868
sampling179	114013	98686
sampling180	114013	98267
sampling181	114013	98955
sampling182	114013	98783
sampling183	114013	98562
sampling184	114013	98618
sampling185	114013	98703
sampling186	114013	98361
sampling187	114013	98486
sampling188	114013	98958
sampling189	114013	98918
sampling190	114013	98647
sampling191	114013	98515
sampling192	114013	98821
sampling193	114013	98556
sampling194	114013	98552
sampling195	114013	98419
sampling196	114013	98832
sampling197	114013	98635
sampling198	114013	98528
sampling199	114013	98632
sampling200	114013	98856
sampling201	114013	98869
sampling202	114013	98664
sampling203	114013	98495
sampling204	114013	98499
sampling205	114013	98437
sampling206	114013	99021
sampling207	114013	98820
sampling208	114013	98441
sampling209	114013	99257
sampling210	114013	98509
sampling211	114013	98396
sampling212	114013	98484
sampling213	114013	98781
sampling214	114013	98973
sampling215	114013	99322
sampling216	114013	98314
sampling217	114013	98413
sampling218	114013	98725
sampling219	114013	98588
sampling220	114013	98674
sampling221	114013	98604
sampling222	114013	98820
sampling223	114013	98626
sampling224	114013	98734
sampling225	114013	98479
sampling226	114013	98700
sampling227	114013	99194
sampling228	114013	98310
sampling229	114013	98487
sampling230	114013	98514
sampling231	114013	99057
sampling232	114013	98588
sampling233	114013	99208
sampling234	114013	99029
sampling235	114013	99155
sampling236	114013	98406
sampling237	114013	99002
sampling238	114013	98347
sampling239	114013	98322
sampling240	114013	98450
sampling241	114013	98722
sampling242	114013	98580
sampling243	114013	98637
sampling244	114013	99236
sampling245	114013	98880
sampling246	114013	98852
sampling247	114013	98457
sampling248	114013	98639
sampling249	114013	98907
sampling250	114013	98672
sampling251	114013	98481
sampling252	114013	98443
sampling253	114013	98750
sampling254	114013	98547
sampling255	114013	98762
sampling256	114013	99116
sampling257	114013	99167
sampling258	114013	99040
sampling259	114013	98614
sampling260	114013	98929
sampling261	114013	99176
sampling262	114013	98904
sampling263	114013	98399
sampling264	114013	98557
sampling265	114013	98911
sampling266	114013	98696
sampling267	114013	98673
sampling268	114013	99363
sampling269	114013	98543
sampling270	114013	98887
sampling271	114013	98361
sampling272	114013	98823
sampling273	114013	98594
sampling274	114013	98622
sampling275	114013	98571
sampling276	114013	99049
sampling277	114013	98582
sampling278	114013	98664
sampling279	114013	98645
sampling280	114013	98597
sampling281	114013	98553
sampling282	114013	99012
sampling283	114013	98794
sampling284	114013	98471
sampling285	114013	98538
sampling286	114013	98892
sampling287	114013	98543
sampling288	114013	99312
sampling289	114013	98780
sampling290	114013	98531
sampling291	114013	99123
sampling292	114013	98880
sampling293	114013	98365
sampling294	114013	98267
sampling295	114013	98481
sampling296	114013	98294
sampling297	114013	98864
sampling298	114013	98779
sampling299	114013	98796
sampling300	114013	98513
sampling301	114013	98792
sampling302	114013	98684
sampling303	114013	98683
sampling304	114013	98749
sampling305	114013	98457
sampling306	114013	98445
sampling307	114013	98840
sampling308	114013	98751
sampling309	114013	98516
sampling310	114013	98435
sampling311	114013	98821
sampling312	114013	98372
sampling313	114013	98664
sampling314	114013	98713
sampling315	114013	98322
sampling316	114013	98804
sampling317	114013	98659
sampling318	114013	98481
sampling319	114013	99094
sampling320	114013	98430
sampling321	114013	98463
sampling322	114013	98995
sampling323	114013	98511
sampling324	114013	98948
sampling325	114013	98605
sampling326	114013	98592
sampling327	114013	98822
sampling328	114013	98438
sampling329	114013	98596
sampling330	114013	98516
sampling331	114013	98470
sampling332	114013	98571
sampling333	114013	98605
sampling334	114013	98591
sampling335	114013	98799
sampling336	114013	99179
sampling337	114013	98898
sampling338	114013	99095
sampling339	114013	98863
sampling340	114013	98391
sampling341	114013	98976
sampling342	114013	98498
sampling343	114013	98639
sampling344	114013	98387
sampling345	114013	99001
sampling346	114013	99042
sampling347	114013	98576
sampling348	114013	98942
sampling349	114013	98744
sampling350	114013	99063
sampling351	114013	98649
sampling352	114013	98538
sampling353	114013	98643
sampling354	114013	98878
sampling355	114013	98606
sampling356	114013	99016
sampling357	114013	98484
sampling358	114013	98987
sampling359	114013	98670
sampling360	114013	98950
sampling361	114013	98932
sampling362	114013	98078
sampling363	114013	98638
sampling364	114013	98380
sampling365	114013	98546
sampling366	114013	98681
sampling367	114013	98932
sampling368	114013	98887
sampling369	114013	99334
sampling370	114013	98527
sampling371	114013	98802
sampling372	114013	98944
sampling373	114013	98844
sampling374	114013	98705
sampling375	114013	98743
sampling376	114013	98482
sampling377	114013	98483
sampling378	114013	98722
sampling379	114013	98659
sampling380	114013	98632
sampling381	114013	98452
sampling382	114013	97972
sampling383	114013	99068
sampling384	114013	98600
sampling385	114013	98386
sampling386	114013	98926
sampling387	114013	98910
sampling388	114013	98294
sampling389	114013	98856
sampling390	114013	98825
sampling391	114013	99032
sampling392	114013	98779
sampling393	114013	98348
sampling394	114013	99013
sampling395	114013	98704
sampling396	114013	98615
sampling397	114013	98655
sampling398	114013	98643
sampling399	114013	98876
sampling400	114013	98913
sampling401	114013	98904
sampling402	114013	98949
sampling403	114013	98445
sampling404	114013	98708
sampling405	114013	98633
sampling406	114013	99028
sampling407	114013	98942
sampling408	114013	99127
sampling409	114013	98687
sampling410	114013	98031
sampling411	114013	98512
sampling412	114013	99217
sampling413	114013	98771
sampling414	114013	98797
sampling415	114013	98844
sampling416	114013	98546
sampling417	114013	98741
sampling418	114013	98472
sampling419	114013	98868
sampling420	114013	98890
sampling421	114013	98859
sampling422	114013	98952
sampling423	114013	98457
sampling424	114013	99105
sampling425	114013	98725
sampling426	114013	98172
sampling427	114013	98384
sampling428	114013	98641
sampling429	114013	98675
sampling430	114013	98806
sampling431	114013	98696
sampling432	114013	99079
sampling433	114013	99019
sampling434	114013	98827
sampling435	114013	98276
sampling436	114013	98479
sampling437	114013	99017
sampling438	114013	98618
sampling439	114013	98743
sampling440	114013	99011
sampling441	114013	98963
sampling442	114013	98664
sampling443	114013	98707
sampling444	114013	98769
sampling445	114013	98554
sampling446	114013	98702
sampling447	114013	98445
sampling448	114013	98793
sampling449	114013	99069
sampling450	114013	99076
sampling451	114013	99277
sampling452	114013	98948
sampling453	114013	98720
sampling454	114013	98623
sampling455	114013	99056
sampling456	114013	98824
sampling457	114013	98578
sampling458	114013	98528
sampling459	114013	98562
sampling460	114013	98311
sampling461	114013	98903
sampling462	114013	98490
sampling463	114013	98978
sampling464	114013	98782
sampling465	114013	98580
sampling466	114013	98698
sampling467	114013	98577
sampling468	114013	98530
sampling469	114013	99392
sampling470	114013	98738
sampling471	114013	98696
sampling472	114013	98680
sampling473	114013	98751
sampling474	114013	98282
sampling475	114013	97969
sampling476	114013	98910
sampling477	114013	98924
sampling478	114013	99016
sampling479	114013	98724
sampling480	114013	98865
sampling481	114013	98282
sampling482	114013	98448
sampling483	114013	98894
sampling484	114013	98978
