Type	Total_N	Overlap_N
sampling1	114013	102386
sampling2	114013	102440
sampling3	114013	102287
sampling4	114013	102445
sampling5	114013	102835
sampling6	114013	102582
sampling7	114013	102288
sampling8	114013	102988
sampling9	114013	102591
sampling10	114013	102723
sampling11	114013	102677
sampling12	114013	102550
sampling13	114013	102030
sampling14	114013	102059
sampling15	114013	102598
sampling16	114013	102408
sampling17	114013	102264
sampling18	114013	102547
sampling19	114013	102421
sampling20	114013	102640
sampling21	114013	102822
sampling22	114013	102440
sampling23	114013	102557
sampling24	114013	102230
sampling25	114013	101947
sampling26	114013	102385
sampling27	114013	102422
sampling28	114013	103014
sampling29	114013	102602
sampling30	114013	102641
sampling31	114013	102420
sampling32	114013	102877
sampling33	114013	102409
sampling34	114013	102711
sampling35	114013	102594
sampling36	114013	102669
sampling37	114013	102347
sampling38	114013	102635
sampling39	114013	102482
sampling40	114013	102504
sampling41	114013	102462
sampling42	114013	102426
sampling43	114013	102520
sampling44	114013	102526
sampling45	114013	102395
sampling46	114013	102522
sampling47	114013	102402
sampling48	114013	102327
sampling49	114013	102645
sampling50	114013	102650
sampling51	114013	102999
sampling52	114013	102179
sampling53	114013	102030
sampling54	114013	102384
sampling55	114013	102335
sampling56	114013	102453
sampling57	114013	102521
sampling58	114013	102892
sampling59	114013	102356
sampling60	114013	102512
sampling61	114013	102596
sampling62	114013	102703
sampling63	114013	102779
sampling64	114013	102483
sampling65	114013	102320
sampling66	114013	102376
sampling67	114013	101951
sampling68	114013	102409
sampling69	114013	102091
sampling70	114013	102083
sampling71	114013	102469
sampling72	114013	102173
sampling73	114013	102116
sampling74	114013	102193
sampling75	114013	102813
sampling76	114013	102460
sampling77	114013	102465
sampling78	114013	102330
sampling79	114013	102275
sampling80	114013	102361
sampling81	114013	102599
sampling82	114013	102183
sampling83	114013	102659
sampling84	114013	102745
sampling85	114013	102957
sampling86	114013	102427
sampling87	114013	101985
sampling88	114013	102505
sampling89	114013	102737
sampling90	114013	103034
sampling91	114013	102649
sampling92	114013	102162
sampling93	114013	102452
sampling94	114013	102380
sampling95	114013	102302
sampling96	114013	103033
sampling97	114013	102688
sampling98	114013	102521
sampling99	114013	102334
sampling100	114013	102770
sampling101	114013	102135
sampling102	114013	102423
sampling103	114013	102278
sampling104	114013	102817
sampling105	114013	102530
sampling106	114013	102355
sampling107	114013	102891
sampling108	114013	102316
sampling109	114013	102080
sampling110	114013	102414
sampling111	114013	102383
sampling112	114013	102130
sampling113	114013	102860
sampling114	114013	102120
sampling115	114013	102518
sampling116	114013	102630
sampling117	114013	102915
sampling118	114013	102437
sampling119	114013	102802
sampling120	114013	102339
sampling121	114013	102430
sampling122	114013	102315
sampling123	114013	102448
sampling124	114013	102151
sampling125	114013	102940
sampling126	114013	102277
sampling127	114013	102325
sampling128	114013	102458
sampling129	114013	102161
sampling130	114013	102248
sampling131	114013	102641
sampling132	114013	102273
sampling133	114013	102301
sampling134	114013	102316
sampling135	114013	102763
sampling136	114013	102492
sampling137	114013	102680
sampling138	114013	102597
sampling139	114013	102234
sampling140	114013	102402
sampling141	114013	102473
sampling142	114013	102542
sampling143	114013	101868
sampling144	114013	102219
sampling145	114013	102531
sampling146	114013	102520
sampling147	114013	102589
sampling148	114013	102372
sampling149	114013	102531
sampling150	114013	102728
sampling151	114013	102669
sampling152	114013	102892
sampling153	114013	102539
sampling154	114013	102398
sampling155	114013	102176
sampling156	114013	102297
sampling157	114013	102338
sampling158	114013	102307
sampling159	114013	102435
sampling160	114013	102943
sampling161	114013	102474
sampling162	114013	102142
sampling163	114013	102905
sampling164	114013	102020
sampling165	114013	102252
sampling166	114013	102535
sampling167	114013	102633
sampling168	114013	102521
sampling169	114013	102715
sampling170	114013	102631
sampling171	114013	102626
sampling172	114013	102563
sampling173	114013	102589
sampling174	114013	102695
sampling175	114013	102377
sampling176	114013	102485
sampling177	114013	102079
sampling178	114013	102563
sampling179	114013	102852
sampling180	114013	102963
sampling181	114013	102231
sampling182	114013	102781
sampling183	114013	102198
sampling184	114013	102177
sampling185	114013	102295
sampling186	114013	102515
sampling187	114013	102558
sampling188	114013	102892
sampling189	114013	102675
sampling190	114013	102085
sampling191	114013	102274
sampling192	114013	102512
sampling193	114013	101965
sampling194	114013	102659
sampling195	114013	102506
sampling196	114013	102170
sampling197	114013	102185
sampling198	114013	102379
sampling199	114013	102363
sampling200	114013	102461
sampling201	114013	102913
sampling202	114013	102806
sampling203	114013	102384
sampling204	114013	102552
sampling205	114013	101908
sampling206	114013	102502
sampling207	114013	102849
sampling208	114013	102540
