Type	Total_N	Overlap_N
sampling1	632	605
sampling2	632	598
sampling3	632	605
sampling4	632	610
sampling5	632	613
sampling6	632	601
sampling7	632	612
sampling8	632	594
sampling9	632	602
sampling10	632	607
sampling11	632	604
sampling12	632	594
sampling13	632	602
sampling14	632	612
sampling15	632	592
sampling16	632	604
sampling17	632	606
sampling18	632	603
sampling19	632	600
sampling20	632	597
sampling21	632	607
sampling22	632	599
sampling23	632	606
sampling24	632	607
sampling25	632	606
sampling26	632	602
sampling27	632	604
sampling28	632	601
sampling29	632	606
sampling30	632	605
sampling31	632	609
sampling32	632	603
sampling33	632	614
sampling34	632	601
sampling35	632	605
sampling36	632	602
sampling37	632	591
sampling38	632	613
sampling39	632	602
sampling40	632	605
sampling41	632	612
sampling42	632	615
sampling43	632	608
sampling44	632	596
sampling45	632	608
sampling46	632	612
sampling47	632	611
sampling48	632	607
sampling49	632	607
sampling50	632	608
sampling51	632	600
sampling52	632	606
sampling53	632	610
sampling54	632	606
sampling55	632	603
sampling56	632	607
sampling57	632	605
sampling58	632	610
sampling59	632	596
sampling60	632	600
sampling61	632	598
sampling62	632	599
sampling63	632	602
sampling64	632	607
sampling65	632	605
sampling66	632	610
sampling67	632	591
sampling68	632	610
sampling69	632	603
sampling70	632	585
sampling71	632	610
sampling72	632	594
sampling73	632	605
sampling74	632	595
sampling75	632	602
sampling76	632	608
sampling77	632	604
sampling78	632	607
sampling79	632	598
sampling80	632	604
sampling81	632	604
sampling82	632	605
sampling83	632	602
sampling84	632	585
sampling85	632	600
sampling86	632	603
sampling87	632	600
sampling88	632	609
sampling89	632	610
sampling90	632	606
sampling91	632	601
sampling92	632	603
sampling93	632	602
sampling94	632	605
sampling95	632	612
sampling96	632	601
sampling97	632	614
sampling98	632	604
sampling99	632	598
sampling100	632	605
sampling101	632	607
sampling102	632	602
sampling103	632	593
sampling104	632	604
sampling105	632	614
sampling106	632	602
sampling107	632	602
sampling108	632	610
sampling109	632	607
sampling110	632	605
sampling111	632	605
sampling112	632	603
sampling113	632	610
sampling114	632	604
sampling115	632	609
sampling116	632	604
sampling117	632	593
sampling118	632	609
sampling119	632	605
sampling120	632	602
sampling121	632	609
sampling122	632	611
sampling123	632	618
sampling124	632	599
sampling125	632	608
sampling126	632	604
sampling127	632	605
sampling128	632	621
sampling129	632	611
sampling130	632	611
sampling131	632	602
sampling132	632	609
sampling133	632	597
sampling134	632	597
sampling135	632	613
sampling136	632	612
sampling137	632	608
sampling138	632	605
sampling139	632	605
sampling140	632	606
sampling141	632	611
sampling142	632	602
sampling143	632	596
sampling144	632	593
sampling145	632	609
sampling146	632	612
sampling147	632	605
sampling148	632	601
sampling149	632	603
sampling150	632	608
sampling151	632	602
sampling152	632	610
sampling153	632	604
sampling154	632	610
sampling155	632	597
sampling156	632	603
sampling157	632	609
sampling158	632	606
sampling159	632	613
sampling160	632	595
sampling161	632	597
sampling162	632	616
sampling163	632	594
sampling164	632	611
sampling165	632	596
sampling166	632	610
sampling167	632	609
sampling168	632	601
sampling169	632	604
sampling170	632	594
sampling171	632	601
sampling172	632	597
sampling173	632	615
sampling174	632	608
sampling175	632	606
sampling176	632	602
sampling177	632	611
sampling178	632	612
sampling179	632	610
sampling180	632	602
sampling181	632	603
sampling182	632	584
sampling183	632	598
sampling184	632	596
sampling185	632	605
sampling186	632	606
sampling187	632	603
sampling188	632	608
sampling189	632	594
sampling190	632	593
sampling191	632	590
sampling192	632	611
sampling193	632	615
sampling194	632	601
sampling195	632	593
