Type	Total_N	Overlap_N
sampling1	143656	121037
sampling2	143656	119988
sampling3	143656	120996
sampling4	143656	121404
sampling5	143656	120215
sampling6	143656	120759
sampling7	143656	119988
sampling8	143656	120898
sampling9	143656	121048
sampling10	143656	121109
sampling11	143656	120986
sampling12	143656	121471
sampling13	143656	121306
sampling14	143656	120698
sampling15	143656	120871
sampling16	143656	121615
sampling17	143656	121650
sampling18	143656	121221
sampling19	143656	119483
sampling20	143656	121016
sampling21	143656	121031
sampling22	143656	121307
sampling23	143656	120547
sampling24	143656	122102
sampling25	143656	119607
sampling26	143656	119452
sampling27	143656	119042
sampling28	143656	119691
sampling29	143656	120668
sampling30	143656	120883
sampling31	143656	122066
sampling32	143656	120357
sampling33	143656	121225
sampling34	143656	121327
sampling35	143656	121454
sampling36	143656	121400
sampling37	143656	121100
sampling38	143656	120690
sampling39	143656	120276
sampling40	143656	121932
sampling41	143656	120421
sampling42	143656	121900
sampling43	143656	120995
sampling44	143656	119713
sampling45	143656	121567
sampling46	143656	121686
sampling47	143656	121637
sampling48	143656	121381
sampling49	143656	120997
sampling50	143656	120180
sampling51	143656	122207
sampling52	143656	121983
sampling53	143656	120773
sampling54	143656	122209
sampling55	143656	120336
sampling56	143656	120549
sampling57	143656	120171
sampling58	143656	121368
sampling59	143656	120825
sampling60	143656	121456
sampling61	143656	120229
sampling62	143656	120250
sampling63	143656	119477
sampling64	143656	119179
sampling65	143656	121167
sampling66	143656	119417
sampling67	143656	120672
sampling68	143656	122067
sampling69	143656	121864
sampling70	143656	120875
sampling71	143656	122731
sampling72	143656	122397
sampling73	143656	121030
sampling74	143656	121750
sampling75	143656	120303
sampling76	143656	121503
sampling77	143656	119893
sampling78	143656	120481
sampling79	143656	120571
sampling80	143656	121464
sampling81	143656	120668
sampling82	143656	120933
sampling83	143656	121002
sampling84	143656	121443
sampling85	143656	121110
sampling86	143656	120177
sampling87	143656	118536
sampling88	143656	120115
sampling89	143656	121533
sampling90	143656	119615
sampling91	143656	121551
sampling92	143656	121032
sampling93	143656	122193
sampling94	143656	120398
sampling95	143656	121161
sampling96	143656	122650
sampling97	143656	121673
sampling98	143656	119689
sampling99	143656	121550
sampling100	143656	122390
sampling101	143656	120837
sampling102	143656	120356
sampling103	143656	121218
sampling104	143656	121560
sampling105	143656	120317
sampling106	143656	120808
sampling107	143656	120493
sampling108	143656	120816
sampling109	143656	120180
sampling110	143656	121033
sampling111	143656	121501
sampling112	143656	122158
sampling113	143656	119572
sampling114	143656	119695
sampling115	143656	119218
sampling116	143656	121357
sampling117	143656	120171
sampling118	143656	121339
sampling119	143656	120436
sampling120	143656	120703
sampling121	143656	120649
sampling122	143656	120559
sampling123	143656	121690
sampling124	143656	119560
sampling125	143656	120339
sampling126	143656	120813
sampling127	143656	121396
sampling128	143656	120437
sampling129	143656	119313
sampling130	143656	120807
sampling131	143656	122808
sampling132	143656	120963
sampling133	143656	120925
sampling134	143656	119704
sampling135	143656	120904
sampling136	143656	120360
sampling137	143656	120140
sampling138	143656	121505
sampling139	143656	119512
sampling140	143656	122005
sampling141	143656	120366
sampling142	143656	119733
sampling143	143656	121862
sampling144	143656	121654
sampling145	143656	121601
sampling146	143656	120099
sampling147	143656	121142
sampling148	143656	120060
sampling149	143656	121075
sampling150	143656	121470
sampling151	143656	120993
sampling152	143656	120274
sampling153	143656	120928
sampling154	143656	121802
sampling155	143656	121209
sampling156	143656	118843
sampling157	143656	122069
sampling158	143656	121327
sampling159	143656	120303
sampling160	143656	121043
sampling161	143656	122801
sampling162	143656	119923
sampling163	143656	121573
sampling164	143656	119910
sampling165	143656	120664
sampling166	143656	121300
sampling167	143656	121163
sampling168	143656	121395
sampling169	143656	121796
sampling170	143656	121136
sampling171	143656	121240
sampling172	143656	120495
sampling173	143656	120963
sampling174	143656	121111
sampling175	143656	120658
sampling176	143656	123306
sampling177	143656	120258
sampling178	143656	121085
sampling179	143656	120618
sampling180	143656	120511
sampling181	143656	121600
sampling182	143656	120588
sampling183	143656	119706
sampling184	143656	121354
sampling185	143656	120923
sampling186	143656	119744
sampling187	143656	121275
sampling188	143656	119484
sampling189	143656	121025
sampling190	143656	121068
sampling191	143656	121419
sampling192	143656	120091
sampling193	143656	122141
sampling194	143656	120662
sampling195	143656	121093
sampling196	143656	121501
sampling197	143656	119754
sampling198	143656	120283
sampling199	143656	121534
sampling200	143656	120781
sampling201	143656	120233
sampling202	143656	119270
sampling203	143656	121454
sampling204	143656	120285
sampling205	143656	120063
sampling206	143656	121353
sampling207	143656	121872
sampling208	143656	121677
sampling209	143656	121690
sampling210	143656	120803
sampling211	143656	119736
sampling212	143656	120116
sampling213	143656	120660
sampling214	143656	120913
sampling215	143656	122101
sampling216	143656	120700
sampling217	143656	121737
sampling218	143656	120459
sampling219	143656	119475
sampling220	143656	121269
sampling221	143656	119679
sampling222	143656	121587
sampling223	143656	122148
sampling224	143656	119890
sampling225	143656	120073
sampling226	143656	120042
sampling227	143656	121876
sampling228	143656	120679
sampling229	143656	119526
sampling230	143656	120402
sampling231	143656	121055
sampling232	143656	120912
sampling233	143656	120637
sampling234	143656	121714
sampling235	143656	121724
sampling236	143656	120372
