Type	Total_N	Overlap_N
sampling1	143656	126665
sampling2	143656	125753
sampling3	143656	127310
sampling4	143656	127655
sampling5	143656	127963
sampling6	143656	125189
sampling7	143656	125286
sampling8	143656	127036
sampling9	143656	127015
sampling10	143656	127024
sampling11	143656	126562
sampling12	143656	126163
sampling13	143656	126203
sampling14	143656	124830
sampling15	143656	126494
sampling16	143656	126453
sampling17	143656	125892
sampling18	143656	126047
sampling19	143656	124694
sampling20	143656	126186
sampling21	143656	126962
sampling22	143656	125369
sampling23	143656	125984
sampling24	143656	126178
sampling25	143656	125783
sampling26	143656	126367
sampling27	143656	126736
sampling28	143656	125851
sampling29	143656	126550
sampling30	143656	125873
sampling31	143656	125971
sampling32	143656	125985
sampling33	143656	125380
sampling34	143656	126217
sampling35	143656	126218
sampling36	143656	126170
sampling37	143656	126059
sampling38	143656	127173
sampling39	143656	126097
sampling40	143656	125856
sampling41	143656	127072
sampling42	143656	125892
sampling43	143656	126525
sampling44	143656	126044
sampling45	143656	126334
sampling46	143656	124812
sampling47	143656	125823
sampling48	143656	127276
sampling49	143656	127141
sampling50	143656	126102
sampling51	143656	127366
sampling52	143656	125720
sampling53	143656	125934
sampling54	143656	126147
sampling55	143656	126182
sampling56	143656	124819
sampling57	143656	126308
sampling58	143656	126792
sampling59	143656	127009
sampling60	143656	126827
sampling61	143656	127586
sampling62	143656	126592
sampling63	143656	126806
sampling64	143656	126979
sampling65	143656	125499
sampling66	143656	126066
sampling67	143656	125264
sampling68	143656	125321
sampling69	143656	125755
sampling70	143656	126456
sampling71	143656	127046
sampling72	143656	126229
sampling73	143656	126280
sampling74	143656	126353
sampling75	143656	125566
sampling76	143656	125802
sampling77	143656	126576
sampling78	143656	126485
sampling79	143656	126372
sampling80	143656	124728
sampling81	143656	126759
sampling82	143656	126470
sampling83	143656	126603
sampling84	143656	126557
sampling85	143656	127004
sampling86	143656	126638
sampling87	143656	125051
sampling88	143656	126936
sampling89	143656	125912
sampling90	143656	127600
sampling91	143656	126818
sampling92	143656	127117
sampling93	143656	126064
sampling94	143656	126600
sampling95	143656	126307
sampling96	143656	125588
sampling97	143656	126158
sampling98	143656	126555
sampling99	143656	126473
sampling100	143656	126302
sampling101	143656	125153
sampling102	143656	126117
sampling103	143656	126206
sampling104	143656	127589
sampling105	143656	124057
sampling106	143656	126168
sampling107	143656	126041
sampling108	143656	125301
sampling109	143656	125357
sampling110	143656	126734
sampling111	143656	126531
sampling112	143656	127133
sampling113	143656	128004
sampling114	143656	126264
sampling115	143656	125911
sampling116	143656	126696
sampling117	143656	125977
sampling118	143656	126431
sampling119	143656	126746
sampling120	143656	126188
sampling121	143656	127266
sampling122	143656	125631
sampling123	143656	125996
sampling124	143656	126476
sampling125	143656	128189
sampling126	143656	125742
sampling127	143656	126205
sampling128	143656	127058
sampling129	143656	125685
sampling130	143656	125597
sampling131	143656	127056
sampling132	143656	125886
sampling133	143656	126564
sampling134	143656	126656
sampling135	143656	125775
sampling136	143656	125466
sampling137	143656	125877
sampling138	143656	124732
sampling139	143656	126920
sampling140	143656	126258
sampling141	143656	126131
sampling142	143656	126132
sampling143	143656	125086
sampling144	143656	126212
sampling145	143656	125589
sampling146	143656	126396
sampling147	143656	126354
sampling148	143656	126216
sampling149	143656	125830
sampling150	143656	125601
sampling151	143656	126124
sampling152	143656	126412
sampling153	143656	126412
sampling154	143656	126821
sampling155	143656	126682
sampling156	143656	125667
sampling157	143656	126230
sampling158	143656	125412
sampling159	143656	125618
sampling160	143656	127066
sampling161	143656	124537
sampling162	143656	125797
sampling163	143656	126103
sampling164	143656	125559
sampling165	143656	125892
sampling166	143656	126919
sampling167	143656	125949
sampling168	143656	125969
sampling169	143656	127020
sampling170	143656	126469
sampling171	143656	126890
sampling172	143656	125380
sampling173	143656	125643
sampling174	143656	126777
sampling175	143656	126191
sampling176	143656	126398
sampling177	143656	126485
sampling178	143656	126165
sampling179	143656	126988
sampling180	143656	127053
sampling181	143656	125611
sampling182	143656	127557
sampling183	143656	126215
sampling184	143656	124685
sampling185	143656	125583
sampling186	143656	126602
sampling187	143656	125166
sampling188	143656	127402
sampling189	143656	126439
sampling190	143656	125541
sampling191	143656	126480
sampling192	143656	126428
sampling193	143656	125126
sampling194	143656	126947
sampling195	143656	127206
sampling196	143656	127050
sampling197	143656	125466
sampling198	143656	125587
sampling199	143656	126531
sampling200	143656	125693
sampling201	143656	126706
sampling202	143656	126834
sampling203	143656	127662
sampling204	143656	127221
sampling205	143656	125395
sampling206	143656	126483
sampling207	143656	127844
sampling208	143656	125675
sampling209	143656	125506
sampling210	143656	125941
sampling211	143656	125894
sampling212	143656	126140
sampling213	143656	125641
sampling214	143656	127989
sampling215	143656	126635
sampling216	143656	125564
