Gene	Type	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6
Zm00001d005478	LUC	165	74	211	86	372	341
Zm00001d005478	REN	18818	6880	17521	7962	40817	38651
Zm00001d005478	LUC/REN	0.008768201	0.010755814	0.012042692	0.010801306	0.00911385	0.00882254
Zm00001d005478_R1	LUC	115	96	169	128	124	85
Zm00001d005478_R1	REN	36269	18280	35331	24486	26640	14174
Zm00001d005478_R1	LUC/REN	0.003170752	0.005251641	0.004783335	0.005227477	0.004654655	0.005996896
Zm00001d021599	LUC	42	36	34	32	44	28
Zm00001d021599	REN	9332	15807	14475	13093	10750	9705
Zm00001d021599	LUC/REN	0.004500643	0.002277472	0.002348877	0.002444054	0.004093023	0.002885111
Zm00001d021599_R1	LUC	49	45	25	51	38	40
Zm00001d021599_R1	REN	6051	5171	3467	6997	6147	2703
Zm00001d021599_R1	LUC/REN	0.008097835	0.008702379	0.007210845	0.007288838	0.006181877	0.014798372
Zm00001d009589	LUC	42	64	30	37	29	58
Zm00001d009589	REN	7675	11195	4758	11088	5063	13757
Zm00001d009589	LUC/REN	0.005472313	0.005716838	0.00630517	0.003336941	0.005727829	0.004216035
Zm00001d009589_R1	LUC	67	26	60	26	26	16
Zm00001d009589_R1	REN	8790	1760	7880	1630	1833	2783
Zm00001d009589_R1	LUC/REN	0.007622298	0.014772727	0.007614213	0.01595092	0.014184397	0.005749192
Zm00001d042730	LUC	256	144	151	77	124	170
Zm00001d042730	REN	5638	3240	2817	990	2382	3732
Zm00001d042730	LUC/REN	0.045406172	0.044444444	0.053603124	0.077777778	0.052057095	0.045551983
Zm00001d042730_R1	LUC	161	99	97	45	97	197
Zm00001d042730_R1	REN	5678	4130	3765	2440	3293	18154
Zm00001d042730_R1	LUC/REN	0.028355055	0.023970944	0.025763612	0.018442623	0.029456423	0.010851603
Zm00001d032896	LUC	143	45	493	213	94	141
Zm00001d032896	REN	5031	2813	74261	25861	14329	16483
Zm00001d032896	LUC/REN	0.028423773	0.015997156	0.006638747	0.00823634	0.006560123	0.008554268
Zm00001d032896_R1	LUC	61	83	1081	1549	142	181
Zm00001d032896_R1	REN	1593	4038	44446	32489	4186	4751
Zm00001d032896_R1	LUC/REN	0.03829253	0.02055473	0.024321649	0.047677676	0.033922599	0.038097243
Zm00001d013133	LUC	49	48	93	65	22	27
Zm00001d013133	REN	20861	10034	59604	12627	3319	5049
Zm00001d013133	LUC/REN	0.002348881	0.004783735	0.001560298	0.005147699	0.006628503	0.005347594
Zm00001d013133_R1	LUC	150	61	212	268	32	53
Zm00001d013133_R1	REN	16529	9403	28548	24332	2124	6287
Zm00001d013133_R1	LUC/REN	0.009074959	0.006487291	0.007426089	0.011014302	0.015065913	0.008430094
