Trait	Block	Hybrid	MPH
MLL	2	OE1/J92	-86.85171658
MSS	2	OE1/J92	-21.58479742
BSS	2	OE1/J92	-21.36335971
TSS	2	OE1/J92	-17.49870444
MSS	1	OE1/J92	-17.03561116
BLL	1	J92/OE1	-15.48930655
BSS	1	OE1/J92	-11.80487805
BSS	2	OE1/J92	-10.9962082
TSS	2	OE1/J92	-7.274320771
TSS	1	OE1/J92	-7.145677063
MSS	2	JING724/J92	-6.759624129
TSS	2	OE1/J92	-4.294478528
MSS	2	OE1/J92	-3.908210828
TSS	2	OE1/J92	-2.642943514
TSS	2	OE1/J92	-2.226117441
MSS	2	OE1/J92	-1.689189189
MSS	1	JING724/J92	-1.283587198
MLL	1	J92/OE1	-1.126760563
BLL	1	J92/OE2	0
BLL	1	J92/OE2	0.937274694
MLL	1	J92/OE1	1.830985915
BLL	1	J92/OE1	3.046014258
PH	1	J92/JING724	3.248898678
TLW	2	OE1/J92	3.255813953
MSS	1	J92/JING724	4.478171257
BSS	2	J92/OE1	4.503956178
TSS	1	OE1/J92	4.748318728
TSS	2	JING724/J92	4.810495627
TSS	2	J92/OE1	4.925503944
BSS	2	OE1/J92	4.963805584
MSS	2	J92/OE3	4.984474587
BSS	2	JING724/J92	5.052264808
BSS	1	OE1/J92	5.326829268
TSS	1	J92/OE1	5.48196454
MSS	2	OE1/J92	6.023664396
BSS	2	JING724/J92	6.074766355
MSS	2	JING724/J92	6.175438596
MLW	1	J92/JING724	6.341463415
TSS	2	OE1/J92	6.397896582
MSS	1	J92/OE3	6.516587678
BLL	1	J92/OE2	6.722106722
BSS	2	OE1/J92	6.786366403
BSS	1	OE1/J92	6.809756098
BLL	1	J92/OE2	6.849315068
MSS	1	J92/JING724	6.862912887
MSS	1	OE1/J92	7.22489811
MSS	1	JING724/J92	7.630522088
MLL	1	J92/OE1	7.724137931
EH	1	OE1/J92	7.968413496
BSS	1	JING724/J92	8.033409263
EL	2	JING724/J92	8.366533865
BLL	1	J92/OE1	8.412483039
TSS	2	OE1/J92	8.5998343
BLL	1	J92/JING724	8.776425368
TLW	2	JING724/J92	8.823529412
MLW	2	OE1/J92	8.928571429
TSS	2	OE1/J92	9.063794532
BLL	2	JING724/J92	9.215017065
EH	1	J92/JING724	9.531772575
BLL	1	J92/OE3	9.570957096
TSS	2	OE1/J92	9.658194566
TLW	2	OE1/J92	9.76744186
TSS	2	OE1/J92	9.868536372
EL	2	JING724/J92	10
TLW	2	OE1/J92	10.14492754
BSS	2	JING724/J92	10.22519781
MSS	2	J92/OE3	10.29487843
MLL	1	J92/JING724	10.36789298
TLW	1	J92/OE1	10.44776119
EL	2	JING724/J92	10.8
MLW	1	J92/OE1	11.11111111
BLW	1	J92/OE1	11.2195122
TLL	1	J92/OE1	11.30713713
