Tray	ID	Fresh_weight	Seedling_length	Mesocotyl_length	Root_length
1	J92/OE3	0.696202532	0.469879518	0.063829787	0.584725537
1	J92/OE3	0.722222222	0.410672854	0.019607843	0.265508685
1	J92/OE3	0.546666667	0.392111369	0.183673469	-0.132924335
1	J92/OE3	0.615384615	0.530864198	0.020408163	-0.273607748
1	J92/OE3	0.413333333	0.313364055	0.658536585	0.46835443
1	J92/OE3	0.526315789	0.451247166	0.14893617	-0.191919192
1	J92/OE2	0.012658228	0.231818182	0.380952381	-0.007352941
1	J92/OE2	0.060240964	0.094650206	0.137254902	0.549295775
1	J92/OE2	0.102564103	0.236442516	0.021276596	0.15
1	J92/OE2	-0.066666667	0.190697674	0	-0.154867257
1	J92/OE2	0.073170732	0.171548117	-0.038461538	-0.068901304
1	J92/OE2	0.384615385	0.365979381	0	0.186516854
1	J92/OE1	0.010309278	0.012048193	0.348837209	-0.318681319
1	J92/OE1	0.010309278	0.16064257	0.162790698	-0.047619048
1	J92/OE1	0.125	0.155756208	-0.130434783	0.119047619
1	J92/OE1	-0.285714286	0.113924051	-0.102040816	-0.175202156
1	J92/OE1	0.28	0.420654912	0.169811321	0.434920635
1	J92/OE1	0.012658228	0.222482436	-0.098039216	0.577464789
1	J92/JING724	0.225	-0.061143984	-0.137931034	-0.040767386
1	J92/JING724	0.166666667	-0.004201681	0.25	-0.512711864
1	J92/JING724	-1.14E-16	0.061946903	0.038461538	-0.1
1	J92/JING724	0.264705882	0.251798561	0.260869565	-0.072599532
1	J92/JING724	0	-0.176015474	0.074074074	-0.445972495
2	J92/JING724	-0.397590361	-0.187122736	-0.411764706	-0.274559194
2	J92/JING724	-0.283950617	-0.086206897	-0.304347826	-0.042253521
2	J92/JING724	-0.036144578	0.073170732	-0.392857143	-0.135011442
2	J92/JING724	-0.146341463	-0.127118644	0.115384615	-0.046321526
2	J92/JING724	-0.048780488	-0.050847458	-0.038461538	-0.019073569
2	J92/OE1	0.219512195	0.115226337	-0.14893617	0.123595506
2	J92/OE1	-0.277108434	-0.021956088	0.098039216	0.129032258
2	J92/OE1	-0.088607595	0.203703704	0.06122449	-0.019138756
2	J92/OE1	-0.247058824	-0.119521912	-0.086956522	0.105882353
2	J92/OE1	-0.223529412	0.078341014	-0.387755102	-0.075425791
2	J92/OE2	0.073170732	0.269487751	0.102040816	0.167420814
2	J92/OE2	0.209876543	0.220183486	0.363636364	0.428571429
2	J92/OE2	0.176470588	0.136929461	0.06122449	0.264900662
2	J92/OE2	0.097560976	0.018255578	0.5	0.261111111
2	J92/OE2	0.060240964	0.015810277	-0.183673469	0.308900524
2	J92/OE3	0.842105263	0.318681319	0.115384615	0.373297003
2	J92/OE3	0.575	0.396895787	0.302325581	0.25198939
2	J92/OE3	0.575	0.263858093	0.209302326	0.697612732
2	J92/OE3	0.324324324	0.241534989	0.069767442	0.13
2	J92/OE3	0.61038961	0.304347826	0.058823529	-0.084668192
2	J92/OE3	0.173333333	0.155844156	0.25	0.0591133
