eQTL target genes	Media_MPH	Sig	module_MPH	module_exp
Zm00001d011147	0.110400979	FALSE	lightcyan	steelblue
Zm00001d036986	0.531603808	Positive	darkslateblue	magenta
Zm00001d003062	0.163182661	FALSE	darkslateblue	lightcyan
Zm00001d007820	#N/A	#N/A	darkslateblue	black
Zm00001d012245	0.06969446	FALSE	darkslateblue	#N/A
Zm00001d022390	-0.064916401	FALSE	darkslateblue	#N/A
Zm00001d025352	-0.044792333	FALSE	darkslateblue	#N/A
Zm00001d026591	0.113735537	FALSE	darkslateblue	black
Zm00001d033863	#N/A	#N/A	darkslateblue	#N/A
Zm00001d043242	0.128474017	FALSE	darkslateblue	#N/A
Zm00001d053816	0.003168602	FALSE	#N/A	#N/A
Zm00001d001960	0.17900703	FALSE	#N/A	black
Zm00001d003208	#N/A	#N/A	darkslateblue	#N/A
Zm00001d008963	0.093772329	FALSE	purple	midnightblue
Zm00001d009589	0.082780726	FALSE	purple	skyblue
Zm00001d010373	0.187028807	FALSE	darkslateblue	#N/A
Zm00001d011285	0.063260843	FALSE	purple	skyblue
Zm00001d013598	0.048370892	FALSE	salmon	paleturquoise
Zm00001d016683	0.220602687	Positive	darkslateblue	black
Zm00001d021177	-0.054857832	FALSE	purple	skyblue
Zm00001d022060	#N/A	#N/A	#N/A	#N/A
Zm00001d027601	0.413765578	Positive	darkslateblue	black
Zm00001d028348	0.278875421	Positive	darkslateblue	black
Zm00001d043968	-0.038212309	FALSE	#N/A	#N/A
Zm00001d018028	0.379234985	Positive	darkslateblue	black
Zm00001d008393	0.013640642	FALSE	darkslateblue	#N/A
Zm00001d002278	0.269776196	Positive	darkslateblue	black
Zm00001d002384	0.009616088	FALSE	mediumpurple3	paleturquoise
Zm00001d004635	0.230834161	Positive	darkslateblue	black
Zm00001d005241	0.272940261	Positive	darkorange2	magenta
Zm00001d005478	0.386310202	Positive	darkslateblue	magenta
Zm00001d006213	0.161248733	FALSE	darkslateblue	lightcyan
Zm00001d006449	0.356665506	Positive	darkslateblue	black
Zm00001d006808	0.132120812	FALSE	darkslateblue	black
Zm00001d007366	0.219369334	Positive	darkslateblue	#N/A
Zm00001d008216	0.23034774	Positive	darkslateblue	magenta
Zm00001d008715	0.291850517	Positive	darkslateblue	black
Zm00001d009060	0.129177192	FALSE	darkslateblue	black
Zm00001d009071	0.402902276	Positive	darkslateblue	black
Zm00001d009127	0.187869845	FALSE	darkorange2	magenta
Zm00001d009779	0.178427344	FALSE	darkslateblue	magenta
Zm00001d011225	0.25901821	Positive	darkslateblue	black
Zm00001d011349	0.178468143	FALSE	darkslateblue	black
Zm00001d011898	0.299187918	Positive	darkslateblue	black
Zm00001d012167	0.566141787	Positive	darkslateblue	black
Zm00001d013367	0.415999639	Positive	darkslateblue	black
Zm00001d013469	0.157898114	FALSE	darkslateblue	magenta
Zm00001d013937	-0.033535505	FALSE	purple	skyblue
Zm00001d014178	0.333441001	Positive	darkslateblue	#N/A
Zm00001d014888	0.159356782	FALSE	darkslateblue	black
Zm00001d015036	0.261255664	Positive	darkslateblue	black
Zm00001d015378	0.307403785	Positive	darkslateblue	black
Zm00001d015527	0.351171038	Positive	darkslateblue	black
Zm00001d015613	0.122046106	FALSE	purple	#N/A
Zm00001d016059	0.123886457	FALSE	darkslateblue	black
Zm00001d016185	0.171284091	FALSE	darkslateblue	black
Zm00001d016662	0.227671827	Positive	darkslateblue	blue
Zm00001d016733	0.331677817	Positive	darkslateblue	black
Zm00001d017528	0.161099465	FALSE	darkslateblue	blue
Zm00001d017709	0.312773739	Positive	darkslateblue	black
Zm00001d017746	0.25215891	Positive	greenyellow	black
Zm00001d019124	0.09768983	FALSE	darkslateblue	blue
Zm00001d019149	0.431440925	Positive	darkslateblue	magenta
Zm00001d019542	0.322421753	Positive	darkorange2	magenta
Zm00001d020013	0.175579201	FALSE	darkslateblue	#N/A
Zm00001d020147	0.208232461	Positive	darkslateblue	blue
Zm00001d020736	0.208446586	Positive	darkslateblue	blue
Zm00001d020929	0.215904658	Positive	darkslateblue	magenta
Zm00001d020974	0.368101768	Positive	darkslateblue	black
Zm00001d021023	0.182503646	FALSE	darkslateblue	magenta
Zm00001d021421	0.139009517	FALSE	darkslateblue	magenta
Zm00001d021599	0.211130653	Positive	darkslateblue	blue
Zm00001d022006	0.098858448	FALSE	darkslateblue	black
Zm00001d022201	0.213124166	Positive	darkslateblue	magenta
Zm00001d022206	0.165414896	FALSE	darkslateblue	lightcyan
Zm00001d022247	0.423332072	Positive	darkslateblue	magenta
Zm00001d022305	0.2324282	Positive	darkorange2	magenta
Zm00001d023437	0.280043726	Positive	darkslateblue	blue
Zm00001d023813	0.227965517	Positive	darkslateblue	black
Zm00001d024148	0.053553652	FALSE	purple	skyblue
Zm00001d028714	0.180948582	FALSE	darkslateblue	black
Zm00001d028787	0.110839679	FALSE	darkslateblue	magenta
Zm00001d031485	0.244740523	Positive	darkslateblue	lightcyan
Zm00001d032435	0.168718735	FALSE	darkslateblue	magenta
Zm00001d032461	0.249616706	Positive	darkslateblue	black
Zm00001d032464	0.382031162	Positive	darkslateblue	magenta
Zm00001d032520	0.30747649	Positive	darkslateblue	magenta
