ID	P5_J92/OE2	P5_J92/OE1	P5_J92/JING724	P5_J92/OE3	P6_J92/OE1	P6_J92/OE3	P6_J92/JING724	P6_J92/OE2
ENSRNA049453693	-0.038464975	-0.067169712	1.028986464	0.239051946	-0.259869349	-0.024748906	-0.194648307	-0.505913161
ENSRNA049453717	-0.227825902	-0.058333069	0.129703256	-0.082774783	0.109274569	-0.076039447	0.517004554	-0.084150466
ENSRNA049453841	0	0	0	0	0	0	0	0
ENSRNA049454125	-0.550014547	0.003076697	-0.031663048	0.010842827	0.588215502	-0.1858406	-0.481938921	-0.469336508
ENSRNA049454254	0	0	0	0	0	0	0	0
ENSRNA049454404	0	0	0	0	0	0	0	0
ENSRNA049454571	0	-0.090962252	0.144515922	0.223922076	-0.182240563	-0.013847381	0.096685773	-0.003651387
ENSRNA049454750	0	0	0	0	0	0	0	0
ENSRNA049454767	0	0	0	0	0	0	-0.077674096	0
ENSRNA049454895	0.17500423	0.186949481	0	-0.184061544	0.480101174	0	0	0
ENSRNA049454938	-0.178828884	-0.025428669	-0.095620643	0.10688986	0.246127817	0	0	-0.173111118
ENSRNA049455185	0.149962904	0.029322211	0.054489945	-0.062636318	0	0	0.279127446	0
ENSRNA049455202	0	0.05952874	0.151641808	0	0	-0.067086075	-0.069251371	0
ENSRNA049455219	0	0	0	0	0	0	0	0
ENSRNA049455313	0	0	0	0	0	0.099201831	0	0.111292218
ENSRNA049455358	0.093566618	0	0	0.116764647	0	0	0	0
ENSRNA049455425	0	0	-0.097669576	0	-0.100544116	-0.100544116	-0.100544116	-0.100544116
ENSRNA049455608	0.006594403	0.011518084	0	-0.022371223	0	-0.009190587	-0.018833497	-0.015296661
ENSRNA049455651	0	0.066286056	0	0	0	0	0	0
ENSRNA049455662	0.294176122	0.210325069	0.13924618	0.272078293	0.679892694	0.070004944	0.198125254	0.478932334
ENSRNA049456300	0.003885397	-0.289475475	0.246887471	0.475692711	1.829046398	0.370838172	-0.396170868	-0.000499924
ENSRNA049456320	-0.515084077	-0.188165182	0.162583185	0.167851292	0.276451432	0.323699005	-0.33971334	-0.359703401
ENSRNA049456343	-0.272722302	-0.197409886	-0.35221628	0.391359394	-0.104152882	0.094587678	-0.535333685	-0.177077701
ENSRNA049456385	0	0	0	0	0	0	0	0.175633031
ENSRNA049456416	0	0.061314602	0	0	0	0	0	0
ENSRNA049456552	0.236255711	0	-0.12612007	0.12372332	-0.129711576	-0.129711576	-0.129711576	-0.004549904
ENSRNA049456636	0	0.067378684	0.17163853	0	0	0	-0.077674096	0
ENSRNA049456661	-0.216626284	0.01568104	-0.083750945	-0.221167429	0.105074611	0.127702022	-0.117852476	-0.135390929
ENSRNA049456692	-0.408896033	-0.416636913	-0.284121747	-0.230521211	0.223492911	-0.004514857	0.169374506	-0.278382575
ENSRNA049456702	-0.256128985	-0.344438053	-0.021425806	-0.483299318	0.107124111	-0.10888067	0.255248683	-0.47043142
ENSRNA049456719	-0.467234703	-0.515146411	-0.472121298	-0.147031961	0.401831807	0.416698102	0.421763837	-0.31278902
ENSRNA049456746	-0.046449911	0.033394971	0.267528076	0.078283186	1.05268628	-0.137295391	-0.043727204	-0.381572438
ENSRNA049456769	-0.277350528	0.054904284	0.618804577	0.57092658	-0.013273748	0.879893215	1.105722733	0.040006917
ENSRNA049456789	-0.079077572	0.154227113	0.115982421	0.813429768	0.301698211	0.151104015	-0.087467182	-0.56640786
ENSRNA049457014	-0.041002938	0.226104087	-0.10197981	0.015953158	-0.078278851	0.113907976	0.362894911	-0.209602702
ENSRNA049457201	0	-0.04708066	0.041265365	0.050573163	0.116842064	0.365376462	-0.211864954	0.035480197
ENSRNA049457302	0	0	0	-0.086079071	0	0	0	0.347644762
ENSRNA049457319	0	0	0	0	0.163395778	0	0	0
ENSRNA049457334	0	0	0	0.132013761	0	0	0	0
ENSRNA049457359	0.003731749	-0.317290759	-0.043395663	-0.101823628	-0.556978293	-0.585336378	-0.39291423	-0.533644309
ENSRNA049457460	0	0	0	0	0	0	-0.062990131	0
ENSRNA049457503	-0.067653332	0.146534941	0.115216535	0.172178683	1.121096585	-0.203672996	0.011188533	0.983437841
ENSRNA049457531	-0.441438777	-0.082872736	-0.016031758	0.629733578	-0.209691694	-0.506436618	-0.324476125	-0.57491505
ENSRNA049457554	-0.014126166	0	0	0	0.251432296	0	-0.061971397	0.072675737
ENSRNA049457570	0.027136105	0.070755212	0.162089923	0.196949116	0.268726662	-0.100249197	-0.122733283	-0.095785757
ENSRNA049457592	0	-0.0457192	-0.049863826	0.107211176	0.117843015	0	0	0.204372981
ENSRNA049457729	0	0.163505606	0	0	-0.103543866	-0.089880444	0	0
ENSRNA049457749	-0.149104151	-0.076135843	0.276937721	-0.149104151	-0.153787563	0	0.609981307	0
ENSRNA049457777	0	0.074773905	0.190476905	0	-0.303731417	-0.414247692	-0.383911947	-0.349413206
ENSRNA049458208	0.310279915	-0.111889304	0.360493805	-0.283930137	0.654781776	0.788645491	0.169879308	0.071208527
ENSRNA049458426	-0.206565268	0.030979084	-0.248073565	-0.243990941	0.571874098	0.359303863	-0.513487661	0.109632367
ENSRNA049458448	-0.223122522	0.34773577	-0.214592336	-0.161053632	0.314386934	0.139605555	-0.41789785	-0.028114337
ENSRNA049458467	-0.40511324	-0.145790899	-0.129489802	0.044893285	2.164845896	0.961117979	-0.155183445	-0.043489576
ENSRNA049458495	-0.293448165	-0.139221144	-0.467598963	-0.591084003	0.452088794	0.362849278	0.095460789	-0.090723527
ENSRNA049458582	-0.361613813	0.067662474	-0.482148073	-0.068068363	1.584810065	0.995280957	-0.039784975	0.369248154
ENSRNA049458634	-0.355638593	-0.16166295	-0.145514606	-0.03004548	0.863303661	1.300046572	-0.006217511	0.052680585
ENSRNA049458706	-0.547056428	-0.225566612	-0.278091902	-0.17727953	2.398394514	0.496006909	-0.428578749	0.111429741
ENSRNA049458722	-0.030124914	-0.004911289	-0.113406285	0.434254162	1.43022995	1.118552984	-0.117508559	0.272243066
ENSRNA049458758	-0.490144497	-0.030710827	-0.341426545	-0.203552427	0.731874322	0.216891187	-0.503209383	0.195949909
ENSRNA049458782	-0.163449876	-0.338986044	-0.44366634	-0.216915263	0.315380983	0.672746622	0.209658693	0.07178363
