gid	B1	B10	B11	B14	B15	B16	B17	B18	B19	B20	B21	B23	B24	B25	B26	B29	B3	B30	B35	B36	B37	B4	B41	B44	B45	B46	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B64	B68	B7	B70	B8	B9
ENSRNA049453693	0.218900465	0.2231574	0.218971508	0.227994765	0.781123276	0.240768473	0.163528241	0.186231307	0	0.663000596	0.193759233	0.09775279	1.132924586	0.191558684	0.331430282	1.266414018	0.889076378	0	0	0.239051946	0.525516149	0.105050858	1.564484338	0.478450921	0.234035621	0	0.854603457	0.890392562	0.076942	0.739203044	0.483387094	0	1.638901714	1.168857006	0.208865065	0.40619128	1.279857125	1.10132757	0	0.4625222	0	1.759161057	0.203375099	0.40036518	0.252843904	0.855367196	0.601504675	0
ENSRNA049453717	0	0.550454921	0.18004324	1.499698899	0.401410572	0.494912973	0.403369661	0.612494077	0.745530288	0	0	0	0.465757885	0	0.272509343	0.34709125	0.365509178	0.34060473	0.609073104	0.196553822	0.216045528	0	0.183764827	0.59008947	0.384858577	0	0.702673953	0.915125689	0.063263423	0.20259639	0	0.70835764	0.192505916	0.27458863	0.515200493	0	0.350775656	0.543321601	0.775354017	0.228177619	0	0.542407993	0	0.164594574	0.311840815	0.703301917	0	0.203268678
ENSRNA049453841	1.01241465	0	0	0.263618947	0.395138532	0	0	0	0	0	0	0.113026663	0	0	0	0	0	0	0	0	0	0.364395165	0	0	0	0	0	0	0.088964188	0.284901173	0	0	0	0	0	0	0	0	0	0.213916517	0	0	0	0	0	0.49450916	0	0
ENSRNA049454125	0.696715458	6.214813624	1.742353938	5.80528606	4.58384976	2.969477839	2.732504158	3.408233169	5.771847393	4.220390891	6.475308555	2.877926222	3.305378542	1.371807352	4.021710461	2.519210682	3.537185589	6.262732132	3.536553506	3.614054151	5.226907938	4.179442752	8.53617261	4.949137488	1.675997028	3.592569301	4.420045835	1.771211011	5.203926699	5.097586583	2.115468248	2.227899029	3.725920948	2.125847457	4.653423811	1.777632806	3.903793595	2.979505555	1.688270844	1.840142085	2.356881961	5.424079926	2.265554871	2.707846218	4.426127701	2.892612722	1.794812338	4.524367354
ENSRNA049454254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053212225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454404	0.19516427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093659801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454571	0.205046005	0.209033514	0	0.213564717	0.365842547	0	0.153178352	0.174444516	0.212334576	0.155259633	0	0.091565904	0	0	0	0.395420411	0.20820143	0	0	0.223922076	0	0	0.209352335	0	0.43844648	0	0.200128658	0.208509651	0.144144507	0	0.226396487	0.605242287	0.219310537	0.156411245	0	0.190241486	0.199808918	0	0.220828676	0	0.21342748	0	0	0.187512806	0	0	0.352146725	0.231571912
ENSRNA049454750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126526845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454767	0	0	0	0	0.079399893	0	0	0	0	0	0	0	0	0	0	0	0	0.16843091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454895	0	0	0.200048045	0	0	0	0.298792342	0	0	0	0.177014608	0	0.690011682	0.17500423	0.302788159	0	0.609181963	0	0.451165262	0	0.480101174	0.287917167	0	0	0	0	0.195187209	1.830251378	0.632634226	0	0	1.180596067	0	0.762746194	0.381629995	0	0.389750729	0	0	0	0	0	0.371598947	0	0.346489795	0	0	0
ENSRNA049454938	0	0	0	0	0	0	0.153178352	0	0.212334576	0	1.270471932	0.183131809	0	0	0.07761342	0	0	0	0	0.223922076	0.246127817	0.492010349	0.418704669	0.224084609	0	0.211461358	0	0	0.144144507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118420563	0	0	0
ENSRNA049455185	0	0	0	0.269945802	0	0.071267468	0	0	0	0	0.114705466	0	0	0.226805482	0.098103363	0.12495285	0	0	0	0	0	0.124380216	0	0	0	0.133643578	0	0	0	0	0	0	0	0	0	0	0.252558473	0	0.279127446	0.054762628	0	0	0	0	0.149683591	0	0.089022692	0
ENSRNA049455202	0	0	0	0	0	0	0.117486309	0	0	0.238165263	0	0	0	0	0.05952874	0.151641808	0	0.148807892	0	0	0	0.075473432	0	0	0	0	0	0.319849755	0	0.177025972	0	0.309476639	0	0	0.150058396	0	0	0	0	0	0	0	0.146114149	0.143820502	0.090827422	0.153633914	0	0
ENSRNA049455219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107407523	0	0	0	0	0	0
ENSRNA049455313	0	0	0	0	0	0	0	0	0	0	0	0.143241712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108727805	0	0.120354291	0	0	0	0	0	0.099201831	0.104190789	0.107588436	0	0	0.111292218	0	0.099338332	0	0	0	0	0.12075367
ENSRNA049455358	0	0	0	0	0	0	0	0	0.05536116	0	0	0	0	0.093566618	0	0	0	0	0	0.116764647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104190789	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049455425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216482949	0	0	0	0	0.227920939	0.223566531	0.199225586	0	0	0	0	0	0	0	0	0	0	0	0	0	0.395607328	0	0
ENSRNA049455608	0.06085899	0	0.020292914	0	0.013573056	0	0	0	0.010503714	0	0.017956397	0.009059119	0	0.017752464	0.011518084	0	0	0.038390013	0.045766295	0	0	0.009735458	0.031068568	0.022169924	0	0	0	0.041258015	0.007130505	0	0	0.019959984	0	0	0	0	0	0.051032085	0	0.012859102	0	0	0	0.018551674	0.017573997	0.009908762	0.013935925	0
ENSRNA049455651	0	0	0	0	0	0	0	0	0.090672603	0	0	0	0	0	0.066286056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049455662	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363470324	0.275129625	0.200244952	0	0	0	0.340189308	0.872491556	0	0	0	0	0.1070862	0	0	0	0	0.229299006	0	0	0	0	0.192680479	0	0	0.335489719	0	0.648491191	0	0	0	0	0	0	0
ENSRNA049456300	0.431963584	1.981637716	0.216051888	4.049187027	2.986494657	1.544128476	1.613478646	1.286237561	2.683909038	1.63540147	2.485285093	0.771595355	1.676728388	0.945022843	1.062786437	1.249528498	1.096527533	3.678531084	0.730887725	1.179322933	4.14807414	2.694904686	1.984660132	1.652250515	1.385490876	0.222739297	3.583637161	1.098150827	2.201567107	0.972462671	0.715412898	1.275043752	0.924028395	2.141791313	3.503363355	1.402713887	1.68372315	1.738629124	0.930424821	1.825420948	1.348861676	5.207116729	1.805970883	0.790053955	1.247363261	1.476934025	1.483711533	1.463534483
ENSRNA049456320	0.215981792	1.100909842	1.080259442	2.924412853	1.734093672	3.444594293	2.742913698	2.021230453	0.447318173	2.453102205	3.249988198	1.060943613	2.608244159	0.378009137	1.471550451	1.874292747	1.535138546	4.291619598	2.192663174	2.358645867	3.111055605	2.694904686	5.071909226	2.124322091	1.385490876	1.559175077	2.529626231	0.878520661	1.821986571	3.646735017	1.669296763	2.12507292	2.772085185	2.800804025	4.533764342	2.605040075	1.473257757	1.521300483	1.628243436	1.916691996	1.798482235	1.952668773	1.605307451	1.7776214	1.995781218	1.898915175	2.819051912	1.219612069
ENSRNA049456343	0.402450544	0.10256924	0.201290579	0	0.089756401	0	0.150324097	0	0.104189015	0.152366597	0.089057039	0.224649269	0.086787184	0.440228032	0.952090095	0.097013082	0	2.570402155	1.021426944	1.318497689	0.724624753	1.158821891	2.054513594	1.649318394	1.075691674	0.311281626	2.553194178	0	0	0	0.666533756	0	1.183732028	0	0	0.560089839	0.392171541	0.607440299	0.216713856	0	0.942527569	0	0.093476754	0.184018778	0.058106984	0	0	0
