ID	ID2	rep1_a	rep1_b	rep1_c	rep2_a	rep2_b	rep2_c	rep3_a	rep3_b	rep3_c
OE1	OE1	218.6184	246.1368	261.4248	188.916	221.2392	258.804	253.1256	256.62	281.0808
J92	J92	162.708	172.3176	176.6856	172.3176	177.5592	195.9048	334.8072	283.2648	297.6792
J724	J724	195.0312	198.5256	195.468	245.7	264.0456	262.7352	271.0344	299.8632	303.7944
OE2	OE2	217.7448	226.044	215.124	208.572	218.6184	230.412	182.8008	214.6872	210.756
OE3	OE3	212.5032	239.148	259.6776	231.2856	243.0792	259.6776	220.3656	246.5736	247.0104
J92/OE1	J92/OE1	307.7256	330.876	336.1176	181.9272	189.3528	217.308	245.2632	258.3672	276.276
OE1/J92	J92/OE1	233.0328	267.54	256.62	130.8216	148.7304	150.4776	224.2968	250.9416	257.9304
J92/OE2	J92/OE2	199.836	227.7912	212.5032	490.308	329.5656	338.3016	302.484	352.716	358.8312
OE2/J92	J92/OE2	229.5384	252.252	240.0216	257.4936	264.0456	294.6216	182.364	193.284	189.3528
J92/OE3	J92/OE3	205.5144	212.94	241.7688	296.3688	332.1864	310.7832	240.4584	272.7816	264.4824
OE3/J92	J92/OE3	214.2504	226.9176	225.6072	287.196	297.2424	302.0472	299.4264	319.5192	334.3704
J92/J724	J92/J724	131.2584	139.5576	146.5464	151.3512	164.892	162.708	143.052	168.3864	155.7192
J724/J92	J92/J724	186.732	225.6072	206.388	145.6728	168.3864	135.1896	181.9272	199.3992	171.8808
