hyb	MPH
J92/OE1	19.20473773
J92/OE1	18.42397336
J92/OE1	56.02471679
J92/OE1	-3.846153846
J92/OE1	83.87096774
J92/OE1	18.32829809
J92/OE1	-7.547169811
J92/OE1	-39.31104357
J92/OE1	-14.32806324
J92/OE1	-25.24698134
J92/OE1	-19.82272361
J92/OE1	-30.19250253
J92/OE1	-15.56390977
J92/OE1	-1.05973025
J92/OE1	-11.05263158
J92/OE1	36.94874851
J92/OE1	3.013029316
J92/OE1	12.79847182
J92/OE2	-19.09814324
J92/OE2	-7.073386384
J92/OE2	-7.371225577
J92/OE2	-3.669724771
J92/OE2	-0.307377049
J92/OE2	27.19907407
J92/OE2	74.84423676
J92/OE2	32.0268757
J92/OE2	19.95230525
J92/OE2	37.07482993
J92/OE2	73.46024636
J92/OE2	42.14963119
J92/OE2	53.03867403
J92/OE2	-3.69088812
J92/OE2	71.80851064
J92/OE2	-21.40319716
J92/OE2	70.08281573
J92/OE2	-2.254791432
J92/OE3	-7.199211045
J92/OE3	3.154574132
J92/OE3	8.093126386
J92/OE3	15.18847007
J92/OE3	17.51592357
J92/OE3	15.6774916
J92/OE3	8.82117081
J92/OE3	40.34151547
J92/OE3	69.18798665
J92/OE3	30.48897411
J92/OE3	48.22916667
J92/OE3	54.8712206
J92/OE3	-6.536502547
J92/OE3	2.927927928
J92/OE3	32.59023355
J92/OE3	51.2926577
J92/OE3	16.10738255
J92/OE3	71.82940516
J92/J724	-53.84024578
J92/J724	-11.76470588
J92/J724	-24.73498233
J92/J724	-24.98184459
J92/J724	-33.63006924
J92/J724	-30.92105263
J92/J724	-31.72413793
J92/J724	-30.3030303
J92/J724	-8.706166868
J92/J724	-9.718969555
J92/J724	-32.02554745
J92/J724	-45.46255507
J92/J724	-22.85041225
J92/J724	-16.36546185
J92/J724	-46.93737096
J92/J724	-33.26023392
J92/J724	-35.35811423
J92/J724	-15.82887701
