Chr	Start	End	Min_P	Min_Pos	N_Gene	#target	#overlap	Ratio_target_overlap	Ratio_neg_g_overlap	P_grp	P_les
1	3108474	3184741	2.70728e-12	3174741	154	154	15	9.74025974025974	0.46139649338665	0.915	0.057
1	5158430	5788693	1.42164e-11	5194999	1743	1743	137	7.86001147446931	4.21408797293141	1.001	0.001
1	6205086	6395646	9.38373e-12	6385635	837	837	107	12.7837514934289	3.2912949861581	0.743	0.229
1	6513657	6570848	4.14671e-12	6528195	471	471	31	6.58174097664544	0.953552752999077	1.001	0.001
1	6809915	7085516	7.29759e-14	6824431	1836	1836	106	5.77342047930283	3.26053521993233	1.001	0.001
1	7379257	7729275	3.95951e-13	7414338	602	602	47	7.80730897009967	1.4457090126115	1.001	0.001
1	7932515	8059887	5.62822e-12	8022075	370	370	11	2.97297297297297	0.338357428483543	1.001	0.001
1	8268263	8342584	6.96973e-11	8315998	340	340	19	5.58823529411765	0.584435558289757	1.001	0.001
1	8473243	8504466	1.99126e-12	8494322	274	274	21	7.66423357664234	0.64595509074131	0.997	0.003
1	9437690	9517552	6.25297e-09	9489905	103	103	12	11.6504854368932	0.36911719470932	0.677	0.216
1	12164153	12194088	3.82572e-10	12176604	111	111	5	4.5045045045045	0.153798831128883	1.001	0.001
1	13117476	13211012	1.61088e-09	13181940	104	104	4	3.84615384615385	0.123039064903107	1.001	0.001
1	15493893	15609016	7.84611e-11	15514329	127	127	13	10.2362204724409	0.399876960935097	0.841	0.109
1	16392706	16488032	1.80869e-13	16412358	313	313	14	4.47284345047923	0.430636727160874	1.001	0.001
1	16623020	16645918	1.62212e-10	16633538	130	130	12	9.23076923076923	0.36911719470932	0.912	0.059
1	16803885	16976345	3.6473e-10	16916303	374	374	10	2.67379679144385	0.307597662257767	1.001	0.001
1	17273233	17330805	4.56484e-13	17319810	132	132	8	6.06060606060606	0.246078129806213	0.997	0.002
1	27572809	27609415	1.98102e-14	27599415	199	199	2	1.00502512562814	0.0615195324515534	1.001	0.001
1	54310795	54456716	3.85493e-10	54410212	287	287	22	7.66550522648084	0.676714856967087	1	0.001
1	55003463	55271318	6.59005e-12	55033758	232	232	71	30.6034482758621	2.18394340203014	0.001	1.001
1	57381542	57404240	1.29151e-16	57391542	126	126	0	0	0	1.001	0.001
1	67369724	67453129	9.17241e-11	67442631	205	205	26	12.6829268292683	0.799753921870194	0.592	0.335
1	111601426	111659306	1.38568e-12	111620748	148	148	2	1.35135135135135	0.0615195324515534	1.001	0.001
1	130519809	130653537	1.29731e-08	130607900	108	108	10	9.25925925925926	0.307597662257767	0.901	0.054
1	131133007	131175285	5.05665e-11	131143007	127	127	12	9.4488188976378	0.36911719470932	0.929	0.041
