SNP,Chr,Pos,P.value,MAF,nobs,H&B.P.Value,Effect
Zm00001d027230,1,44289,0.0913339046411655,0.47582514563622,590,0.51332615357862,-0.0394787241574645
Zm00001d027231,1,50877,0.328040640782685,0.44894988257898,590,0.758431410961338,-0.019176672712569
Zm00001d027236,1,138378,0.350511287072467,0.494005961687353,590,0.77068716552168,-0.0129555301294294
Zm00001d027239,1,196942,0.489667437489257,0.45827603530761,590,0.844197122965386,-0.0114404342234989
Zm00001d027242,1,209979,0.0735885073585197,0.483097590796446,590,0.47704697418801,-0.0273476867944725
Zm00001d027248,1,328329,0.356805350736323,0.333069769801934,590,0.77595288012014,0.0134874886906829
Zm00001d027253,1,420213,0.578959625564941,0.448302515080474,590,0.878673573142752,0.00921899475692389
Zm00001d027254,1,426764,0.680308138823917,0.484432904511448,590,0.921698489627632,0.00704331841883482
Zm00001d027256,1,559525,0.499582568738962,0.499031548274261,590,0.848440103188453,-0.00925039896586616
Zm00001d027257,1,560956,0.294893909811677,0.455804951749898,590,0.733751181415575,0.0197467861541054
Zm00001d022649,1,572435,0.0694825609680449,0.340610174652205,590,0.46745226153255,0.0343555393809188
Zm00001d027258,1,689056,0.0889847678316833,0.468718347331262,590,0.510017259639548,-0.0204108448325288
Zm00001d027259,1,689483,0.126533948273048,0.424191006004325,590,0.572696836964205,-0.0323434136727376
Zm00001d027265,1,1012255,0.269052040412575,0.446886436283204,590,0.714995817329085,0.0201960084409198
Zm00001d027266,1,1027058,0.0133607737412355,0.492507737865177,590,0.2555460578725,-0.0496504826069166
Zm00001d022650,1,1030351,0.210739392940261,0.45753817826784,590,0.668608797977013,-0.0166017764017955
Zm00001d027267,1,1031786,0.806190468222072,0.442767400813215,590,0.95588349124518,-0.00408024220779257
Zm00001d027268,1,1034777,0.0835545066031946,0.453788923446562,590,0.500473317852492,-0.0314087421528196
Zm00001d027271,1,1067813,0.305178666604027,0.317909768312768,590,0.741135545308034,-0.015958323394265
Zm00001d027275,1,1213077,0.00833362548151722,0.474475498994888,590,0.211701984134945,0.0414044870153697
Zm00001d027276,1,1226063,0.70753933216647,0.498636565108148,590,0.929531301665029,-0.00630856031592417
Zm00001d027278,1,1492439,0.719277614378329,0.350107982798561,590,0.93312529768609,0.00957128665636464
Zm00001d027281,1,1610483,0.698897791574725,0.414124583034174,590,0.927105595765105,-0.00810990565752168
