Gene	Median_Genetic_load
Zm00001d027230	0
Zm00001d027231	0
Zm00001d027232	0
Zm00001d027235	0
Zm00001d027233	0
Zm00001d027234	0
Zm00001d027236	0
Zm00001d027239	0.4271
Zm00001d027240	0.3502
Zm00001d027242	0
Zm00001d027244	0
Zm00001d027245	0
Zm00001d027248	0
Zm00001d027250	0
Zm00001d027249	0
Zm00001d027252	0
Zm00001d027253	0
Zm00001d027254	0
Zm00001d027256	0
Zm00001d022649	0
Zm00001d027257	0.0898
Zm00001d027258	0
Zm00001d027259	0
Zm00001d027263	0
Zm00001d027265	0
Zm00001d027266	0
Zm00001d022650	0
Zm00001d027267	0.1108
Zm00001d027268	0
Zm00001d027269	0
Zm00001d027271	0
Zm00001d027273	0.2684
Zm00001d027275	0.378
Zm00001d027276	0
Zm00001d027277	0
Zm00001d027278	0.01188
Zm00001d022651	0
Zm00001d027279	0
Zm00001d027280	0
Zm00001d027281	0
Zm00001d027283	0
Zm00001d027285	0.224
Zm00001d027286	0
Zm00001d027287	0
ENSRNA049464979	0.3856
Zm00001d027288	0.106
Zm00001d027289	0
Zm00001d022652	0
Zm00001d027290	0
Zm00001d027291	0
Zm00001d027292	0
Zm00001d027293	0
Zm00001d027295	0.0176
Zm00001d027296	0.058
Zm00001d027298	3.5046
Zm00001d027299	0
Zm00001d022653	0
Zm00001d027300	0
Zm00001d027302	1.4878
Zm00001d027304	0.3788
Zm00001d027303	0
Zm00001d027305	0
Zm00001d027306	0
Zm00001d027307	0
Zm00001d027308	0.2608
Zm00001d027309	0.1116
Zm00001d027310	0.22
Zm00001d027311	0
Zm00001d027312	1.32116
Zm00001d027313	0.659
Zm00001d027314	0.2446
Zm00001d027315	0.224
Zm00001d027317	0.3318
Zm00001d027316	0.8574
ENSRNA049437471	0.8574
Zm00001d027318	0
Zm00001d027319	0
Zm00001d027321	4.81762
Zm00001d027320	1.2516
Zm00001d027322	1.2516
Zm00001d027323	0
Zm00001d027324	0.0644
Zm00001d027325	6.47958
Zm00001d027326	0.8748
Zm00001d027327	0.8748
ENSRNA049437473	0.8748
Zm00001d027329	0.328
Zm00001d027330	0.178592
Zm00001d027332	0.12122
Zm00001d027333	0.0892
Zm00001d027334	2.64974
Zm00001d027335	0.487
Zm00001d027337	0.0891
Zm00001d027338	8.15668
Zm00001d027339	0.1808
Zm00001d027340	0.6828
Zm00001d027341	3.2528
Zm00001d027342	0
Zm00001d027343	0
Zm00001d027344	0.726
Zm00001d027346	2.5651
Zm00001d027345	5.7132
Zm00001d027347	0
Zm00001d027348	1.2272
Zm00001d027349	1.0608
Zm00001d022654	1.19894
Zm00001d027350	0.25062
Zm00001d027351	0.5106
Zm00001d027352	2.25376
Zm00001d027353	0.29
Zm00001d027354	0.4956
ENSRNA049464954	0
ENSRNA049464940	0.1606
Zm00001d027355	0
Zm00001d027359	0.0286
Zm00001d027360	0
Zm00001d027361	0.5314
Zm00001d027362	0
Zm00001d027363	0
Zm00001d027365	2.851894
Zm00001d027367	3.1854
Zm00001d027368	6.676
Zm00001d027366	6.17913
Zm00001d027369	0
Zm00001d027370	2.88962
Zm00001d027371	0
Zm00001d022655	0
Zm00001d027373	0.4178
Zm00001d027375	1.1564
Zm00001d027374	1.3836
Zm00001d027377	6.60314
Zm00001d027378	1.964
Zm00001d027376	0
Zm00001d027379	0
Zm00001d022656	0
Zm00001d022657	0
Zm00001d027380	0
Zm00001d027381	0
Zm00001d027382	0
Zm00001d027383	0
Zm00001d027384	4.7782
Zm00001d027385	7.2271
Zm00001d027386	1.734
Zm00001d027387	1.2924
Zm00001d027388	3.44
Zm00001d027389	0
Zm00001d027392	2.2016
Zm00001d027391	1.6408
Zm00001d027393	0
Zm00001d027394	0
Zm00001d027395	0.01882
Zm00001d027396	0
ENSRNA049440088	0
Zm00001d027397	0
Zm00001d027399	0
Zm00001d027400	0.0916
Zm00001d027402	0.10304
Zm00001d027401	0.3676
Zm00001d027403	0.869
Zm00001d027404	1.7912
Zm00001d027405	1.46804
Zm00001d027406	2.2534
Zm00001d027407	0.2452
Zm00001d027408	0.2452
Zm00001d027409	1.67758
Zm00001d027411	3.1518
Zm00001d027412	0.0284
Zm00001d027414	0.5264
Zm00001d027415	0.44
Zm00001d027416	0
Zm00001d027417	0.496
Zm00001d027419	1.0676
Zm00001d027421	1.4382
Zm00001d027422	0.8336
Zm00001d027423	0
Zm00001d027424	0
Zm00001d022658	0
Zm00001d027425	0
Zm00001d027427	3.5838
Zm00001d027429	2.0464
Zm00001d027428	3.23082
Zm00001d027430	3.10136
Zm00001d027431	0.93744
Zm00001d022659	3.64374
Zm00001d027434	0
Zm00001d027435	0.1592
Zm00001d022660	0.4128
Zm00001d027436	2.316
Zm00001d027437	2.4252
Zm00001d027439	0.8554
Zm00001d027440	3.44249
Zm00001d027441	1.0406
Zm00001d027442	0.50445
Zm00001d027444	0.526652
Zm00001d027443	0.98
Zm00001d027445	0.4144
Zm00001d027446	0.3576
Zm00001d027447	0
Zm00001d027448	0.676
Zm00001d027449	5.47452
Zm00001d027450	3.826276
Zm00001d027451	0.564
Zm00001d022661	2.6152
Zm00001d027453	1.0722
Zm00001d027454	2.8738
Zm00001d027455	0.136
Zm00001d027456	0.282
Zm00001d027457	1.456
Zm00001d027458	2.469
Zm00001d027459	2.9038
Zm00001d027460	0
