Type	Total_N	Overlap_N
sampling1	143656	138407
sampling2	143656	137873
sampling3	143656	138713
sampling4	143656	138570
sampling5	143656	138736
sampling6	143656	138158
sampling7	143656	138893
sampling8	143656	138520
sampling9	143656	138351
sampling10	143656	138031
sampling11	143656	138351
sampling12	143656	138181
sampling13	143656	137317
sampling14	143656	138145
sampling15	143656	138748
sampling16	143656	138453
sampling17	143656	138392
sampling18	143656	138168
sampling19	143656	138381
sampling20	143656	138412
sampling21	143656	137765
sampling22	143656	137543
sampling23	143656	137803
sampling24	143656	138661
sampling25	143656	137977
sampling26	143656	138779
sampling27	143656	137803
sampling28	143656	137645
sampling29	143656	138207
sampling30	143656	138156
sampling31	143656	137755
sampling32	143656	137953
sampling33	143656	138787
sampling34	143656	138438
sampling35	143656	138615
sampling36	143656	138259
sampling37	143656	138010
sampling38	143656	138785
sampling39	143656	139245
sampling40	143656	138665
sampling41	143656	139132
sampling42	143656	138241
sampling43	143656	138400
sampling44	143656	137870
sampling45	143656	138123
sampling46	143656	137960
sampling47	143656	138868
sampling48	143656	139046
sampling49	143656	138572
sampling50	143656	138473
sampling51	143656	138412
sampling52	143656	138282
sampling53	143656	138309
sampling54	143656	138246
sampling55	143656	138335
sampling56	143656	138354
sampling57	143656	138272
sampling58	143656	138178
sampling59	143656	138127
sampling60	143656	138235
sampling61	143656	137959
sampling62	143656	138139
sampling63	143656	138523
sampling64	143656	138609
sampling65	143656	138330
sampling66	143656	137819
sampling67	143656	137750
sampling68	143656	137892
sampling69	143656	138078
sampling70	143656	137635
sampling71	143656	139151
sampling72	143656	138848
sampling73	143656	138219
sampling74	143656	137887
sampling75	143656	138567
sampling76	143656	137581
sampling77	143656	138651
sampling78	143656	138237
sampling79	143656	138144
sampling80	143656	138641
sampling81	143656	138699
sampling82	143656	138132
sampling83	143656	137049
sampling84	143656	137840
sampling85	143656	138094
sampling86	143656	138567
sampling87	143656	137915
sampling88	143656	138539
sampling89	143656	138842
sampling90	143656	137751
sampling91	143656	138602
sampling92	143656	139036
sampling93	143656	138282
sampling94	143656	138810
sampling95	143656	137561
sampling96	143656	138315
sampling97	143656	138901
sampling98	143656	138036
sampling99	143656	137728
sampling100	143656	137572
sampling101	143656	137916
sampling102	143656	138209
sampling103	143656	137765
sampling104	143656	138824
sampling105	143656	138676
sampling106	143656	138189
sampling107	143656	137811
sampling108	143656	138650
sampling109	143656	138315
sampling110	143656	138014
sampling111	143656	137387
sampling112	143656	139094
sampling113	143656	138284
sampling114	143656	138768
sampling115	143656	138424
sampling116	143656	138123
sampling117	143656	137295
sampling118	143656	138337
sampling119	143656	138174
sampling120	143656	138192
sampling121	143656	138302
sampling122	143656	138780
