Heterosis	Gene	Chr	Pos	P-value	Effect	Traits	Anno	TF	Exp_hyb	Exp_inb	References
Hybrid	Zm00001d032822	1	239273172	2.48E-08	-1.209178635	FW/pSL/SL	NA		27.67241014	14.9772536	 Single-cell transcriptomes reveal spatiotemporal heat stress response in maize roots. Nat Commun.
Hybrid	Zm00001d027395	1	4341041	9.47E-07	-1.344322735	SL/TL	NAC domain containing protein 28	Y	0.546902448	0.546762506	Biofortification of iron content by regulating a NAC transcription factor in maize Science. 382:1159-1165.
Hybrid	Zm00001d015201	5	78984402	7.93E-07	-0.046417814	FW	Protein NLP6		0.999521445	3.238581567	Deciphering Nitrogen Stress Responses in Maize Rhizospheres: Comparative Transcriptomics of Monocropping and Intercropping Systems Agronomy. 14:2554.
Hybrid	Zm00001d049883	4	50288422	8.32E-07	-1.683758837	pSL/SL	Protein PROTON GRADIENT REGULATION 5 chloroplastic		42.80177695	39.50097059	Embracing native diversity to enhance the maximum quantum efficiency of photosystem II in maize. Plant Physiol. :doi: 10.1093/plphys/kiae670. )
Hybrid	Zm00001d043244	3	193000729	7.55E-08	-0.031073451	FW	Indole-3-acetic acid-amido synthetase GH3.6		7.488679167	6.597077637	Fulvic acid alleviates the stress of low nitrogen on maize by promoting root development and nitrogen metabolism. Physiol Plant. 176:e14249.
Hybrid	Zm00001d027924	1	17775779	7.93E-07	0.03041622	FW	NA		4.009045104	5.160985454	Genetic variations in ZmEREB179 are associated with waterlogging tolerance in maize J Genet Genomics. :doi: 10.1016/j.jgg.2024.04.005.
Hybrid	Zm00001d050201	4	73396073	2.11E-07	-1.343060551	pSL/SL	Probable xyloglucan endotransglucosylase/hydrolase protein 21		4.369197221	2.182128668	Genome-wide identification and characterization of xyloglucan endotransglucosylase/hydrolase gene family in maize (Zea mays L.) and the function of ZmXTH30 in response to drought stress Environ Exp Bot. :doi: 10.1016/j.envexpbot.2024.105744. ] Genome browser
Hybrid	Zm00001d041576	3	127808680	9.77E-09	-0.681370183	FW/pSL/SL	Transcription factor MYB48	Y	62.34963001	47.75287998	Genome-wide identification and functional roles relating to anthocyanin biosynthesis analysis in maize. BMC Plant Biology. 25:57.
Hybrid	Zm00001d042683	3	176794763	7.49E-07	-0.039022667	FW	POT family protein		3.277916419	1.753808999	Genome-wide identification of nitrate transporter 1/peptide transporter family (NPF) induced by arbuscular mycorrhiza in the maize genome Physiol Mol Biol Plants. :doi: 10.1007/s12298-024-01464-3.
Hybrid	Zm00001d038717	6	163280343	5.88E-07	2.094985729	RL/TL	Seed specific protein Bn15D17A		12.25331671	15.28716982	Genomic basis determining root system architecture in maize. Theor Appl Genet. 137:102.
Hybrid	Zm00001d018142	5	215341246	5.16E-09	0.036607864	FW	MADS-box protein SVP		9.399787041	6.76310961	GWAS and Transcriptome Analysis Reveal Key Genes Affecting Root Growth under Low Nitrogen Supply in Maize Genes. 13:1632.
Hybrid	Zm00001d040837	3	69485812	1.68E-07	-0.045215284	FW	Glutaredoxin-C13		9.293001385	20.32171889	Identification of maize CC-type glutaredoxins that are associated with response to drought stress
Hybrid	Zm00001d003859	2	63412887	6.22E-07	0.81506239	pSL/SL	Potassium transporter 5		5.403243322	1.998576053	Integrated Transcriptomic and Metabolomic Analysis of Exogenous NAA Effects on Maize Seedling Root Systems under Potassium Deficiency Int J Mol Sci. 25:3366.
Hybrid	Zm00001d003309	2	39693111	4.66E-12	-1.493078243	ADW/FW/pSL/SL/TL	Copper amine oxidase family protein		72.1461318	83.00548473	"Integrating physiological, metabolome and transcriptome revealed the response of maize seeds to combined cold and high soil moisture stresses. Physiol Plant. 177:e70096. )"
Hybrid	Zm00001d052180	4	181857308	1.63E-10	0.020895452	ADW/FW	"tu1;tunicate1: dominant Tu1 ears develop long glumes; tassels develop large, MADs"	Y	19.83597622	15.09046213	MADS-box encoding gene Tunicate1 positively controls maize yield by increasing leaf number above the ear Nat Commun. 15:9799.
